Starting job 311845 on b[1249,2301-2303,2314,2316-2317,2333,2343-2344,2346-2348,3150-3152,3166-3170,3172-3196,5108,5113-5114,5116-5117,5119-5121,5123-5124,5126,5131-5133,5136,5143,5146,5148] at Tue Mar 15 22:06:51 CET 2022

start running log_Zn64_gs8_tr_j12p_j12p.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
311845         Zn64_gs8       8192                                             00:04:45      0:0 
311845.batch      batch        128        1   00:00:00          0   00:00:00   00:04:45      0:0 
311845.exte+     extern       8192       64   00:00:00         63   00:00:00   00:04:45      0:0 
311845.0     hydra_bst+       2048       16   15:18:27          4   16:50:35   00:04:40      0:0 
311845.1     hydra_bst+        384        3   15:25:44          2   16:01:39   00:04:37      0:0 
311845.2     hydra_bst+        384        3   17:10:14          0   17:11:20   00:04:37      0:0 
311845.3     hydra_bst+        384        3   17:08:56          1   17:09:44   00:04:37      0:0 
311845.4     hydra_bst+        384        3   17:10:56          2   17:11:47   00:04:37      0:0 
311845.5     hydra_bst+        384        3   17:03:38          0   17:05:02   00:04:37      0:0 
311845.6     hydra_bst+        384        3   17:02:18          0   17:04:04   00:04:37      0:0 
311845.7     hydra_bst+        384        3   17:06:12          2   17:08:42   00:04:37      0:0 
311845.8     hydra_bst+        384        3   15:33:40          0   16:39:02   00:04:37      0:0 
311845.9     hydra_bst+        384        3   17:11:11          2   17:11:57   00:04:37      0:0 
311845.10    hydra_bst+        384        3   17:09:24          1   17:10:22   00:04:37      0:0 
311845.11    hydra_bst+        384        3   15:15:22          2   15:58:10   00:04:37      0:0 
311845.12    hydra_bst+        384        3   17:09:41          0   17:10:07   00:04:37      0:0 
311845.13    hydra_bst+        384        3   17:09:36          2   17:10:20   00:04:37      0:0 
311845.14    hydra_bst+        384        3   15:35:06          2   16:38:52   00:04:37      0:0 
311845.15    hydra_bst+        384        3   15:21:43          0   16:34:44   00:04:37      0:0 
311845.16    hydra_bst+        384        3   17:05:54          2   17:06:41   00:04:36      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
311845                                                                           
311845.batch      8783K          0      8783K       11              0         11 
311845.exte+       851K         46     775360        3             52          1 
311845.0       1777208K         15 1801408064       62              3         56 
311845.1       1757443K          2   1753965K       58              2         54 
311845.2       1756901K          1 1791244629       55              1         48 
311845.3       1763316K          0 1802129066       56              2         47 
311845.4       1765595K          1 1803399850       52              0         49 
311845.5       1766398K          0   1759222K       49              2         47 
311845.6       1757135K          1   1753571K       53              0         48 
311845.7       1749444K          2 1788171946       52              0         47 
311845.8       1750837K          0   1744928K       57              0         54 
311845.9       1750093K          1 1790769834       51              2         44 
311845.10      1757953K          2 1795234474       51              1         48 
311845.11      1783365K          2 1802384725       48              2         44 
311845.12      1761386K          0 1800105301       57              0         46 
311845.13      1756418K          1 1795396266       55              0         47 
311845.14      1772498K          0 1809115477       50              0         47 
311845.15      1748221K          0 1783998805       42              2         41 
311845.16      1770764K          0 1802652330       52              1         47 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
311845                                                                                                
311845.batch       15.16M               0         15.16M       21.42M                0         21.42M 
311845.exte+        0.00M              63          0.00M            0               63              0 
311845.0          119.35M               2         95.00M       79.13M                0         70.50M 
311845.1          111.32M               2        104.37M       66.72M                1         66.72M 
311845.2          130.03M               1        120.07M       66.72M                2         66.72M 
311845.3           97.78M               1         97.10M       66.72M                1         66.72M 
311845.4          119.53M               1        109.74M       66.72M                1         66.72M 
311845.5           42.48M               1         42.47M       66.72M                0         66.72M 
311845.6           42.48M               2         42.48M       66.72M                2         66.72M 
311845.7           94.84M               0         72.89M       66.72M                0         66.72M 
311845.8          120.62M               1        114.25M       66.72M                2         66.72M 
311845.9          110.40M               2        103.41M       66.72M                1         66.72M 
311845.10         104.11M               0        100.67M       66.72M                2         66.72M 
311845.11         116.93M               0        105.13M       66.72M                0         66.72M 
311845.12         100.98M               1         97.41M       66.72M                1         66.72M 
311845.13         104.80M               1        101.19M       66.72M                0         66.72M 
311845.14         110.30M               0        100.35M       66.72M                0         66.72M 
311845.15         107.42M               2         98.73M       66.72M                1         66.72M 
311845.16          42.48M               1         42.48M       66.72M                1         66.72M 

Job 311845 completed at Tue Mar 15 22:11:37 CET 2022
