Starting job 311846 on b[1249,2301-2303,2314,2316-2317,2333,2343-2344,2346-2348,3150-3152,3166-3170,3172-3196,5108,5113-5114,5116-5117,5119-5121,5123-5124,5126,5131-5133,5136,5143,5146,5148] at Tue Mar 15 22:11:51 CET 2022

start running log_Zn64_gs8_tr_j12p_j14p.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
311846         Zn64_gs8       8192                                             00:03:54      0:0 
311846.batch      batch        128        1   00:00:00          0   00:00:00   00:03:54      0:0 
311846.exte+     extern       8192       64   00:00:00         61   00:00:00   00:03:54      0:0 
311846.0     hydra_bst+       2048       16   12:13:03         10   14:55:10   00:03:50      0:0 
311846.1     hydra_bst+        384        3   11:42:08          1   13:44:32   00:03:49      0:0 
311846.2     hydra_bst+        384        3   11:17:20          0   13:36:51   00:03:49      0:0 
311846.3     hydra_bst+        384        3   14:46:20          0   14:47:00   00:03:49      0:0 
311846.4     hydra_bst+        384        3   14:39:02          2   14:39:08   00:03:49      0:0 
311846.5     hydra_bst+        384        3   11:41:46          0   13:44:02   00:03:49      0:0 
311846.6     hydra_bst+        384        3   14:45:47          1   14:46:31   00:03:49      0:0 
311846.7     hydra_bst+        384        3   11:40:17          1   12:43:19   00:03:49      0:0 
311846.8     hydra_bst+        384        3   14:45:26          2   14:45:58   00:03:49      0:0 
311846.9     hydra_bst+        384        3   14:45:23          1   14:46:27   00:03:49      0:0 
311846.10    hydra_bst+        384        3   14:38:52          0   14:39:04   00:03:49      0:0 
311846.11    hydra_bst+        384        3   14:45:40          0   14:46:02   00:03:49      0:0 
311846.12    hydra_bst+        384        3   14:39:03          2   14:39:08   00:03:49      0:0 
311846.13    hydra_bst+        384        3   11:35:10          2   13:40:09   00:03:49      0:0 
311846.14    hydra_bst+        384        3   14:45:35          1   14:45:54   00:03:49      0:0 
311846.15    hydra_bst+        384        3   14:46:02          0   14:46:51   00:03:49      0:0 
311846.16    hydra_bst+        384        3   11:35:35          1   13:42:23   00:03:49      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
311846                                                                           
311846.batch      8787K          0      8787K       11              0         11 
311846.exte+       853K         46     785328        3             55          1 
311846.0       1761243K         11 1788662528       62             15         55 
311846.1       1746245K          0 1786546858       55              0         51 
311846.2       1747056K          2 1784320341       50              0         47 
311846.3       1741586K          1 1781346986       41              0         39 
311846.4       1752243K          1   1742272K       56              1         52 
311846.5       1748925K          2 1787862357       54              0         50 
311846.6       1747079K          0 1785304405       53              2         50 
311846.7       1738164K          2   1734314K       49              0         47 
311846.8       1751790K          2 1787491669       50              0         47 
311846.9       1761044K          1 1787627178       55              1         49 
311846.10      1746263K          1 1783124650       54              1         47 
311846.11      1746391K          2 1781928618       54              0         47 
311846.12      1760726K          2 1790916949       48              2         44 
311846.13      1752710K          0 1790129493       51              0         50 
311846.14      1747105K          0 1786234197       56              2         49 
311846.15      1750960K          2   1744230K       54              1         48 
311846.16      1747492K          0   1737777K       50              1         45 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
311846                                                                                                
311846.batch       15.01M               0         15.01M       21.42M                0         21.42M 
311846.exte+        0.00M              61          0.00M            0               61              0 
311846.0          107.59M               5         88.15M       78.98M                0         70.49M 
311846.1          104.03M               2         96.91M       66.72M                1         66.72M 
311846.2          110.21M               1        100.58M       66.72M                0         66.72M 
311846.3          101.53M               2         95.68M       66.72M                0         66.72M 
311846.4           42.57M               2         42.57M       66.72M                0         66.72M 
311846.5           92.80M               2         90.77M       66.72M                2         66.72M 
311846.6          119.50M               0        112.16M       66.72M                1         66.72M 
311846.7           96.99M               0         94.27M       66.72M                1         66.72M 
311846.8           97.27M               2         94.05M       66.72M                1         66.72M 
311846.9          103.38M               0         93.49M       66.72M                1         66.72M 
311846.10          42.57M               1         42.57M       66.72M                1         66.72M 
311846.11          93.42M               1         90.76M       66.72M                2         66.72M 
311846.12          42.58M               1         42.57M       66.72M                1         66.72M 
311846.13          84.47M               0         63.02M       66.72M                2         66.72M 
311846.14         113.95M               1        103.79M       66.72M                1         66.72M 
311846.15         106.96M               0         97.37M       66.72M                0         66.72M 
311846.16         101.19M               2         93.31M       66.72M                1         66.72M 

Job 311846 completed at Tue Mar 15 22:15:45 CET 2022
