Starting job 311850 on b[2177-2181,2183-2184,2186-2189,2191,2193-2195,3101-3104,3111-3112,3114,3116,3132-3138,3140-3145,3148,3249,3261,3280-3283,3285-3290,4158,4168-4171,4181-4182,4191,4193,4195,5207,5227-5228,5240-5241] at Tue Mar 15 22:25:51 CET 2022

start running log_Zn64_gs8_tr_j12p_j14n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
311850         Zn64_gs8       8192                                             00:13:15      0:0 
311850.batch      batch        128        1   00:00:00          0   00:00:00   00:13:15      0:0 
311850.exte+     extern       8192       64   00:00:00         63   00:00:00   00:13:16      0:0 
311850.0     hydra_bst+       2048       16 1-13:55:39         14 2-01:48:58   00:13:12      0:0 
311850.1     hydra_bst+        384        3 1-17:25:15          2 2-02:16:08   00:13:12      0:0 
311850.2     hydra_bst+        384        3 1-17:02:04          1 1-21:37:50   00:13:11      0:0 
311850.3     hydra_bst+        384        3 2-05:49:28          2 2-06:12:42   00:13:11      0:0 
311850.4     hydra_bst+        384        3 1-11:01:12          2 2-00:04:16   00:13:11      0:0 
311850.5     hydra_bst+        384        3 2-06:37:45          0 2-06:40:31   00:13:11      0:0 
311850.6     hydra_bst+        384        3 2-06:33:03          1 2-06:37:27   00:13:11      0:0 
311850.7     hydra_bst+        384        3 1-16:48:52          2 1-21:43:13   00:13:11      0:0 
311850.8     hydra_bst+        384        3 1-18:10:32          2 2-02:30:28   00:13:11      0:0 
311850.9     hydra_bst+        384        3 1-17:13:45          1 1-22:56:41   00:13:11      0:0 
311850.10    hydra_bst+        384        3 1-17:01:23          1 2-02:06:33   00:13:11      0:0 
311850.11    hydra_bst+        384        3 2-01:35:04          2 2-04:56:32   00:13:11      0:0 
311850.12    hydra_bst+        384        3 2-06:34:15          2 2-06:37:31   00:13:11      0:0 
311850.13    hydra_bst+        384        3 2-01:13:26          2 2-04:50:47   00:13:11      0:0 
311850.14    hydra_bst+        384        3 1-18:26:21          1 2-02:36:12   00:13:11      0:0 
311850.15    hydra_bst+        384        3 1-17:44:09          0 2-02:17:43   00:13:11      0:0 
311850.16    hydra_bst+        384        3 1-18:00:10          0 1-22:27:21   00:13:11      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
311850                                                                           
311850.batch      8855K          0      8855K       11              0         11 
311850.exte+       850K         54     846096        3             62          1 
311850.0       3972400K          0 4001331008       70              6         60 
311850.1       3958884K          0 3975849642       54              0         51 
311850.2       3965647K          1 4005827242       66              2         57 
311850.3       3937639K          2 4000081578       57              1         54 
311850.4       3910021K          2   3861219K       54              2         50 
311850.5       3897171K          2 3971515733       54              1         51 
311850.6       3949287K          0   3918232K       53              1         49 
311850.7       3943792K          0 4034067114       48              0         45 
311850.8       4055475K          2 4079256917       57              2         53 
311850.9       3955727K          2   3934383K       50              1         46 
311850.10      3953820K          2 4027680426       54              2         53 
311850.11      3967797K          2   3944073K       56              1         51 
311850.12      3940488K          0 4015760042       53              1         50 
311850.13      4015532K          1   3972265K       56              2         51 
311850.14      4014008K          0 4059475626       59              0         55 
311850.15      3961783K          1 4015088298       49              0         46 
311850.16      3948925K          1 4008792405       54              1         49 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
311850                                                                                                
311850.batch       10.63M               0         10.63M       16.95M                0         16.95M 
311850.exte+        0.00M              63          0.00M            0               63              0 
311850.0         1604.69M               2       1557.07M       69.94M                0         69.93M 
311850.1         1634.00M               1       1586.74M       66.72M                2         66.72M 
311850.2         1585.68M               0       1574.76M       66.72M                0         66.72M 
311850.3         1509.75M               0        739.24M       66.72M                2         66.72M 
311850.4         1532.43M               2       1518.74M       66.72M                0         66.72M 
311850.5         1593.15M               1       1562.05M       66.72M                0         66.72M 
311850.6         1557.57M               0       1526.66M       66.72M                2         66.72M 
311850.7         1596.89M               0       1582.48M       66.72M                2         66.72M 
311850.8         1563.55M               0       1540.51M       66.72M                1         66.72M 
311850.9         1547.42M               2       1543.12M       66.72M                0         66.72M 
311850.10        1665.70M               1       1600.10M       66.72M                0         66.72M 
311850.11        1620.44M               1       1598.20M       66.72M                2         66.72M 
311850.12        1557.83M               1       1548.30M       66.72M                2         66.72M 
311850.13        1559.53M               2       1548.05M       66.72M                0         66.72M 
311850.14        1555.61M               2       1552.18M       66.72M                0         66.72M 
311850.15        1562.65M               0       1543.13M       66.72M                0         66.72M 
311850.16        1570.65M               0       1553.13M       66.72M                0         66.72M 

Job 311850 completed at Tue Mar 15 22:39:07 CET 2022
