Starting job 311852 on b[1117,1127-1133,2102-2104,2113-2115,2131-2133,2352,2370,2376-2390,3358-3359,3366-3369,3382-3383,3388-3394,3396,5250,5257,5259-5263,5266-5271,5274] at Tue Mar 15 22:30:51 CET 2022

start running log_Zn64_gs8_tr_j14p_j16p.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
311852         Zn64_gs8       8192                                             00:03:27      0:0 
311852.batch      batch        128        1   00:00:00          0   00:00:00   00:03:27      0:0 
311852.exte+     extern       8192       64   00:00:00         61   00:00:00   00:03:27      0:0 
311852.0     hydra_bst+       2048       16   10:05:55         10   13:01:37   00:03:25      0:0 
311852.1     hydra_bst+        384        3   13:18:01          2   13:18:16   00:03:24      0:0 
311852.2     hydra_bst+        384        3   13:16:35          0   13:17:33   00:03:24      0:0 
311852.3     hydra_bst+        384        3   10:09:21          1   12:11:39   00:03:24      0:0 
311852.4     hydra_bst+        384        3   10:03:08          2   12:07:42   00:03:24      0:0 
311852.5     hydra_bst+        384        3   10:03:17          1   11:09:54   00:03:24      0:0 
311852.6     hydra_bst+        384        3   13:09:45          1   13:10:07   00:03:24      0:0 
311852.7     hydra_bst+        384        3   13:17:21          1   13:17:43   00:03:24      0:0 
311852.8     hydra_bst+        384        3   10:10:08          1   12:15:14   00:03:24      0:0 
311852.9     hydra_bst+        384        3   13:09:51          2   13:09:57   00:03:24      0:0 
311852.10    hydra_bst+        384        3   10:05:55          1   12:14:35   00:03:24      0:0 
311852.11    hydra_bst+        384        3   13:17:36          1   13:17:52   00:03:24      0:0 
311852.12    hydra_bst+        384        3   13:18:56          0   13:19:18   00:03:24      0:0 
311852.13    hydra_bst+        384        3   10:11:19          0   12:16:03   00:03:24      0:0 
311852.14    hydra_bst+        384        3   10:14:21          2   12:16:22   00:03:24      0:0 
311852.15    hydra_bst+        384        3   13:19:10          1   13:19:38   00:03:24      0:0 
311852.16    hydra_bst+        384        3   10:02:50          2   11:09:17   00:03:24      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
311852                                                                           
311852.batch      8851K          0      8851K       11              0         11 
311852.exte+       846K         37     836080        3             58          1 
311852.0       1742501K          9 1766278912       64              4         56 
311852.1       1725236K          2   1715595K       56              1         49 
311852.2       1726010K          0 1761159850       52              2         48 
311852.3       1715418K          0 1755196074       55              0         49 
311852.4       1721581K          0   1713312K       42              2         40 
311852.5       1725000K          0 1761375914       45              0         43 
311852.6       1728182K          1 1761183061       56              2         54 
311852.7       1726583K          2   1721958K       51              1         49 
311852.8       1732680K          2 1766352213       49              1         47 
311852.9       1729000K          0 1766821205       55              1         50 
311852.10      1720867K          1   1715723K       55              0         54 
311852.11      1722977K          2   1720378K       51              0         48 
311852.12      1726813K          0 1766391125       48              2         45 
311852.13      1725429K          1   1712119K       53              2         48 
311852.14      1714218K          0 1754244437       59              0         58 
311852.15      1736921K          1 1766464170       51              2         44 
311852.16      1731914K          0 1759529642       58              2         55 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
311852                                                                                                
311852.batch       15.59M               0         15.59M       21.42M                0         21.42M 
311852.exte+        0.00M              61          0.00M            0               61              0 
311852.0           95.98M              10         75.98M       79.42M                0         70.52M 
311852.1           87.46M               2         81.98M       66.72M                1         66.72M 
311852.2           81.59M               2         78.28M       66.72M                0         66.72M 
311852.3           63.60M               0         49.58M       66.72M                1         66.72M 
311852.4           42.57M               0         42.57M       66.72M                2         66.72M 
311852.5           95.47M               1         86.30M       66.72M                1         66.72M 
311852.6           42.58M               1         42.57M       66.72M                1         66.72M 
311852.7           79.41M               0         77.32M       66.72M                2         66.72M 
311852.8           84.65M               2         80.80M       66.72M                1         66.72M 
311852.9           42.57M               2         42.57M       66.72M                0         66.72M 
311852.10          84.51M               0         80.88M       66.72M                0         66.72M 
311852.11          93.14M               1         85.55M       66.72M                2         66.72M 
311852.12          86.72M               0         81.29M       66.72M                0         66.72M 
311852.13         106.16M               0         94.47M       66.72M                0         66.72M 
311852.14          83.74M               2         80.73M       66.72M                2         66.72M 
311852.15          86.17M               0         78.98M       66.72M                1         66.72M 
311852.16          87.69M               2         80.92M       66.72M                1         66.72M 

Job 311852 completed at Tue Mar 15 22:34:18 CET 2022
