Starting job 311855 on b[2177-2181,2183-2184,2186-2189,2191,2193-2195,3101-3104,3111-3112,3114,3116,3132-3138,3140-3145,3148,3249,3261,3280-3283,3285-3290,3309-3310,3312-3313,3325,4158,4168-4171,4181-4182,4191,4193,4195] at Tue Mar 15 22:39:21 CET 2022

start running log_Zn64_gs8_tr_j14p_j16n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
311855         Zn64_gs8       8192                                             00:09:41      0:0 
311855.batch      batch        128        1   00:00:00          0   00:00:00   00:09:41      0:0 
311855.exte+     extern       8192       64   00:00:00         63   00:00:00   00:09:41      0:0 
311855.0     hydra_bst+       2048       16 1-09:49:39          1 1-13:30:03   00:09:38      0:0 
311855.1     hydra_bst+        384        3 1-14:40:59          1 1-14:41:14   00:09:37      0:0 
311855.2     hydra_bst+        384        3 1-10:02:30          0 1-11:39:02   00:09:37      0:0 
311855.3     hydra_bst+        384        3 1-14:42:22          2 1-14:42:53   00:09:37      0:0 
311855.4     hydra_bst+        384        3 1-14:42:33          2 1-14:43:06   00:09:37      0:0 
311855.5     hydra_bst+        384        3 1-14:21:24          2 1-14:28:38   00:09:37      0:0 
311855.6     hydra_bst+        384        3 1-11:01:15          2 1-13:27:13   00:09:37      0:0 
311855.7     hydra_bst+        384        3 1-14:37:59          2 1-14:40:05   00:09:37      0:0 
311855.8     hydra_bst+        384        3 1-14:43:45          2 1-14:44:36   00:09:37      0:0 
311855.9     hydra_bst+        384        3 1-07:52:53          1 1-12:26:09   00:09:37      0:0 
311855.10    hydra_bst+        384        3 1-14:40:10          1 1-14:40:45   00:09:37      0:0 
311855.11    hydra_bst+        384        3 1-09:38:17          1 1-11:21:02   00:09:37      0:0 
311855.12    hydra_bst+        384        3 1-10:08:54          0 1-11:45:00   00:09:37      0:0 
311855.13    hydra_bst+        384        3 1-14:43:58          2 1-14:44:13   00:09:37      0:0 
311855.14    hydra_bst+        384        3 1-09:02:51          2 1-12:49:43   00:09:37      0:0 
311855.15    hydra_bst+        384        3 1-10:22:43          1 1-11:50:22   00:09:37      0:0 
311855.16    hydra_bst+        384        3 1-14:40:45          2 1-14:42:52   00:09:37      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
311855                                                                           
311855.batch      8867K          0      8867K       11              0         11 
311855.exte+       851K         51     858272        3             63          1 
311855.0       3436226K          3 3438662848       69             10         58 
311855.1       3349029K          1 3409556821       47              1         44 
311855.2       3374343K          2 3432225109       55              2         48 
311855.3       3353975K          1 3423714645       59              1         50 
311855.4       3375873K          1 3438340778       59              0         53 
311855.5       3394036K          0 3424345429       49              2         47 
311855.6       3364868K          1 3422012074       50              2         47 
311855.7       3349199K          2   3332111K       53              0         48 
311855.8       3371798K          1 3403115861       56              1         47 
311855.9       3377314K          2 3455150762       47              1         44 
311855.10      3421888K          0   3354846K       50              1         45 
311855.11      3463428K          2 3482935978       51              1         46 
311855.12      3476983K          0   3407937K       52              1         48 
311855.13      3378660K          1   3365219K       51              0         49 
311855.14      3432982K          1 3492566698       52              1         49 
311855.15      3436620K          2   3413255K       51              0         50 
311855.16      3389193K          0   3359664K       50              2         47 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
311855                                                                                                
311855.batch       10.63M               0         10.63M       16.95M                0         16.95M 
311855.exte+        0.00M              63          0.00M            0               63              0 
311855.0         1223.56M              14       1164.39M       69.94M                0         69.93M 
311855.1         1203.97M               1       1183.08M       66.72M                1         66.72M 
311855.2         1198.45M               0       1178.12M       66.72M                2         66.72M 
311855.3         1187.07M               1       1175.33M       66.72M                0         66.72M 
311855.4         1222.31M               0       1195.32M       66.72M                2         66.72M 
311855.5         1120.39M               0        474.66M       66.72M                2         66.72M 
311855.6         1163.51M               0       1144.85M       66.72M                2         66.72M 
311855.7         1188.83M               0       1148.03M       66.72M                1         66.72M 
311855.8         1167.88M               2       1152.90M       66.72M                0         66.72M 
311855.9         1183.46M               2       1172.36M       66.72M                1         66.72M 
311855.10        1162.37M               2       1143.84M       66.72M                0         66.72M 
311855.11        1162.89M               2       1159.72M       66.72M                1         66.72M 
311855.12        1155.72M               0       1148.82M       66.72M                0         66.72M 
311855.13        1160.89M               1       1153.98M       66.72M                2         66.72M 
311855.14        1251.79M               1       1190.02M       66.72M                2         66.72M 
311855.15        1182.07M               0       1165.02M       66.72M                2         66.72M 
311855.16        1164.27M               0       1155.56M       66.72M                2         66.72M 

Job 311855 completed at Tue Mar 15 22:49:03 CET 2022
