Starting job 311856 on b[1352-1354,1368,1374-1375,1377-1379,1381-1382,1384-1390,1392-1393,1395,3149,3157-3164,4311-4312,4337-4348,4365-4366,4368-4373,4376,4378-4379,4382-4384,4386,4390-4391,4393-4394,4396] at Tue Mar 15 22:39:51 CET 2022

start running log_Zn64_gs8_tr_j16p_j16p.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
311856         Zn64_gs8       8192                                             00:03:07      0:0 
311856.batch      batch        128        1   00:00:00          0   00:00:00   00:03:07      0:0 
311856.exte+     extern       8192       64   00:00:00         61   00:00:00   00:03:07      0:0 
311856.0     hydra_bst+       2048       16   11:59:34         15   12:03:47   00:03:04      0:0 
311856.1     hydra_bst+        384        3   12:07:34          2   12:08:33   00:03:03      0:0 
311856.2     hydra_bst+        384        3   12:07:47          0   12:08:09   00:03:03      0:0 
311856.3     hydra_bst+        384        3   10:22:26          0   11:33:40   00:03:03      0:0 
311856.4     hydra_bst+        384        3   12:08:01          2   12:08:16   00:03:03      0:0 
311856.5     hydra_bst+        384        3   10:25:19          2   11:00:30   00:03:03      0:0 
311856.6     hydra_bst+        384        3   10:25:34          2   11:33:53   00:03:03      0:0 
311856.7     hydra_bst+        384        3   10:17:18          1   11:28:01   00:03:03      0:0 
311856.8     hydra_bst+        384        3   12:08:24          0   12:08:45   00:03:03      0:0 
311856.9     hydra_bst+        384        3   12:07:46          0   12:07:56   00:03:03      0:0 
311856.10    hydra_bst+        384        3   12:07:52          2   12:08:42   00:03:03      0:0 
311856.11    hydra_bst+        384        3   12:03:14          0   12:03:17   00:03:03      0:0 
311856.12    hydra_bst+        384        3   10:22:03          2   11:29:40   00:03:03      0:0 
311856.13    hydra_bst+        384        3   10:19:42          1   10:56:08   00:03:03      0:0 
311856.14    hydra_bst+        384        3   12:08:09          2   12:08:42   00:03:03      0:0 
311856.15    hydra_bst+        384        3   12:09:19          2   12:09:54   00:03:03      0:0 
311856.16    hydra_bst+        384        3   12:09:48          2   12:10:41   00:03:02      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
311856                                                                           
311856.batch      8844K          0      8844K       11              0         11 
311856.exte+       846K          0     858544        3             28          1 
311856.0       1701383K          9 1724941952       65              2         58 
311856.1       1684240K          2 1718953642       53              1         47 
311856.2       1685605K          2   1668157K       54              0         51 
311856.3       1687983K          1 1724998314       52              1         49 
311856.4       1687348K          0 1723343530       59              1         53 
311856.5       1677035K          1   1671064K       48              2         45 
311856.6       1679028K          2   1670365K       51              0         46 
311856.7       1698532K          0 1724460373       49              1         45 
311856.8       1691708K          1 1724754261       51              0         48 
311856.9       1684972K          2   1676849K       54              2         49 
311856.10      1681189K          2   1673120K       52              0         50 
311856.11      1686780K          1 1716913834       50              0         49 
311856.12      1684484K          0 1719234218       52              1         48 
311856.13      1685744K          1 1722530133       54              1         50 
311856.14      1690679K          2 1717029205       53              1         48 
311856.15      1691365K          2   1685619K       54              2         52 
311856.16      1696164K          1   1691173K       53              2         48 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
311856                                                                                                
311856.batch       15.54M               0         15.54M       21.42M                0         21.42M 
311856.exte+        0.00M              61          0.00M            0               61              0 
311856.0           88.36M              10         70.70M       79.50M                0         70.52M 
311856.1           78.19M               2         74.52M       66.72M                2         66.72M 
311856.2           80.42M               2         73.95M       66.72M                2         66.72M 
311856.3           76.43M               0         72.96M       66.72M                2         66.72M 
311856.4           75.86M               0         71.30M       66.72M                1         66.72M 
311856.5           85.37M               1         79.66M       66.72M                0         66.72M 
311856.6           98.34M               0         84.66M       66.72M                2         66.72M 
311856.7           42.48M               1         42.47M       66.72M                1         66.72M 
311856.8           77.50M               2         74.17M       66.72M                1         66.72M 
311856.9           77.30M               0         74.39M       66.72M                2         66.72M 
311856.10          83.65M               1         79.27M       66.72M                2         66.72M 
311856.11          42.48M               1         42.48M       66.72M                2         66.72M 
311856.12          42.47M               0         42.47M       66.72M                2         66.72M 
311856.13          53.09M               0         46.02M       66.72M                0         66.72M 
311856.14          74.84M               2         73.52M       66.72M                0         66.72M 
311856.15          72.74M               0         70.54M       66.72M                0         66.72M 
311856.16          74.46M               2         72.12M       66.72M                0         66.72M 

Job 311856 completed at Tue Mar 15 22:42:58 CET 2022
