Starting job 311857 on b[1352-1354,1368,1374-1375,1377-1379,1381-1382,1384-1390,1392-1393,1395,3149,3157-3164,4311-4312,4337-4348,4365-4366,4368-4373,4376,4378-4379,4382-4384,4386,4390-4391,4393-4394,4396] at Tue Mar 15 22:43:21 CET 2022

start running log_Zn64_gs8_tr_j16p_j16n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
311857         Zn64_gs8       8192                                             00:09:38      0:0 
311857.batch      batch        128        1   00:00:00          0   00:00:00   00:09:38      0:0 
311857.exte+     extern       8192       64   00:00:00         63   00:00:00   00:09:38      0:0 
311857.0     hydra_bst+       2048       16 1-08:57:27         14 1-13:11:07   00:09:35      0:0 
311857.1     hydra_bst+        384        3 1-10:39:28          2 1-13:21:41   00:09:34      0:0 
311857.2     hydra_bst+        384        3 1-10:35:25          0 1-13:18:40   00:09:34      0:0 
311857.3     hydra_bst+        384        3 1-09:32:33          1 1-12:59:29   00:09:34      0:0 
311857.4     hydra_bst+        384        3 1-14:39:44          0 1-14:41:03   00:09:34      0:0 
311857.5     hydra_bst+        384        3 1-14:38:55          2 1-14:39:39   00:09:34      0:0 
311857.6     hydra_bst+        384        3 1-10:21:59          0 1-13:14:48   00:09:34      0:0 
311857.7     hydra_bst+        384        3 1-14:35:17          1 1-14:36:21   00:09:34      0:0 
311857.8     hydra_bst+        384        3 1-10:52:33          2 1-13:24:29   00:09:34      0:0 
311857.9     hydra_bst+        384        3 1-10:12:00          0 1-13:12:14   00:09:34      0:0 
311857.10    hydra_bst+        384        3 1-14:40:41          0 1-14:40:47   00:09:34      0:0 
311857.11    hydra_bst+        384        3 1-10:41:28          2 1-13:21:56   00:09:34      0:0 
311857.12    hydra_bst+        384        3 1-10:28:04          2 1-11:56:26   00:09:34      0:0 
311857.13    hydra_bst+        384        3 1-14:35:14          2 1-14:36:34   00:09:34      0:0 
311857.14    hydra_bst+        384        3 1-14:22:40          2 1-14:27:44   00:09:34      0:0 
311857.15    hydra_bst+        384        3 1-10:21:31          2 1-13:11:46   00:09:34      0:0 
311857.16    hydra_bst+        384        3 1-14:39:51          0 1-14:41:42   00:09:34      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
311857                                                                           
311857.batch      8844K          0      8844K       11              0         11 
311857.exte+       847K         29     859024        3             29          1 
311857.0       3428054K          2 3431046592       66              9         55 
311857.1       3382107K          2 3441062570       48              2         46 
311857.2       3407305K          1 3426437802       52              2         47 
311857.3       3403577K          1 3455147349       51              0         45 
311857.4       3389023K          1 3401241941       46              2         45 
311857.5       3329154K          2   3307354K       52              2         47 
311857.6       3437913K          2 3462330709       46              1         44 
311857.7       3334116K          2   3311452K       48              0         46 
311857.8       3395191K          2 3444474538       54              0         43 
311857.9       3392408K          2 3426090325       50              1         49 
311857.10      3398709K          0 3458128554       52              2         46 
311857.11      3428554K          2 3453131093       45              2         41 
311857.12      3369933K          1   3350865K       50              0         47 
311857.13      3339996K          0   3315833K       52              1         49 
311857.14      3347264K          2 3421738325       56              0         49 
311857.15      3346672K          2 3393510058       52              0         46 
311857.16      3414201K          0 3427216725       46              1         43 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
311857                                                                                                
311857.batch       10.44M               0         10.44M       16.95M                0         16.95M 
311857.exte+        0.00M              63          0.00M            0               63              0 
311857.0         1223.58M              14       1159.21M       69.94M                0         69.93M 
311857.1         1197.29M               1       1175.70M       66.72M                2         66.72M 
311857.2         1174.77M               2       1164.13M       66.72M                2         66.72M 
311857.3         1160.70M               2       1146.03M       66.72M                1         66.72M 
311857.4         1175.70M               1       1165.61M       66.72M                2         66.72M 
311857.5         1192.70M               0       1172.34M       66.72M                2         66.72M 
311857.6         1148.15M               0       1141.70M       66.72M                2         66.72M 
311857.7         1162.36M               2       1143.84M       66.72M                1         66.72M 
311857.8         1156.77M               2       1152.14M       66.72M                2         66.72M 
311857.9         1157.39M               0       1149.03M       66.72M                0         66.72M 
311857.10        1216.67M               0       1189.27M       66.72M                2         66.72M 
311857.11        1149.46M               2       1147.04M       66.72M                2         66.72M 
311857.12        1174.96M               0       1158.64M       66.72M                0         66.72M 
311857.13        1163.52M               0       1144.85M       66.72M                1         66.72M 
311857.14        1120.40M               0        474.67M       66.72M                2         66.72M 
311857.15        1178.43M               0       1144.57M       66.72M                2         66.72M 
311857.16        1244.44M               1       1183.33M       66.72M                1         66.72M 

Job 311857 completed at Tue Mar 15 22:53:00 CET 2022
