Starting job 311859 on b[2352,2370,2376-2385,3150-3152,3165-3170,3172-3196,5108,5113-5114,5116-5117,5119-5121,5123-5124,5126,5131-5133,5136,5143,5146,5148] at Tue Mar 15 22:50:51 CET 2022

start running log_Zn64_gs8_tr_j0n_j2n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
311859         Zn64_gs8       8192                                             00:53:47      0:0 
311859.batch      batch        128        1   00:00:00          0   00:00:00   00:53:47      0:0 
311859.exte+     extern       8192       64   00:00:00         49   00:00:00   00:53:47      0:0 
311859.0     hydra_bst+       2048       16 6-16:58:00          8 8-20:22:13   00:53:44      0:0 
311859.1     hydra_bst+        384        3 9-02:50:22          0 9-03:00:11   00:53:42      0:0 
311859.2     hydra_bst+        384        3 9-02:53:14          0 9-03:01:44   00:53:42      0:0 
311859.3     hydra_bst+        384        3 9-03:04:04          2 9-03:07:39   00:53:43      0:0 
311859.4     hydra_bst+        384        3 9-03:02:51          2 9-03:05:17   00:53:42      0:0 
311859.5     hydra_bst+        384        3 6-14:23:27          0 8-06:52:14   00:53:42      0:0 
311859.6     hydra_bst+        384        3 6-22:28:21          1 7-16:37:54   00:53:43      0:0 
311859.7     hydra_bst+        384        3 9-02:57:07          0 9-03:00:27   00:53:42      0:0 
311859.8     hydra_bst+        384        3 9-02:56:58          1 9-03:02:13   00:53:42      0:0 
311859.9     hydra_bst+        384        3 9-00:49:14          2 9-02:09:08   00:53:42      0:0 
311859.10    hydra_bst+        384        3 6-11:27:54          0 7-11:29:44   00:53:43      0:0 
311859.11    hydra_bst+        384        3 9-03:04:27          0 9-03:05:18   00:53:42      0:0 
311859.12    hydra_bst+        384        3 6-03:13:54          2 7-05:57:07   00:53:42      0:0 
311859.13    hydra_bst+        384        3 9-02:55:59          2 9-02:58:58   00:53:43      0:0 
311859.14    hydra_bst+        384        3 6-18:09:31          0 8-08:07:55   00:53:42      0:0 
311859.15    hydra_bst+        384        3 9-03:00:31          1 9-03:04:06   00:53:43      0:0 
311859.16    hydra_bst+        384        3 6-14:41:05          2 7-10:51:14   00:53:42      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
311859                                                                           
311859.batch      8683K          0      8683K       11              0         11 
311859.exte+       849K         46     834176        3             46          1 
311859.0      11268742K         12 114530561+       83              6         71 
311859.1      11199352K          2 114201985+       69              1         64 
311859.2      11191243K          1 114373884+       67              0         63 
311859.3      11262718K          1  11200091K       62              0         58 
311859.4      11145309K          2  11093932K       67              1         65 
311859.5      11219804K          2 114757710+       63              1         60 
311859.6      11229071K          2 114267108+       71              2         60 
311859.7      11238194K          2  11205824K       74              1         68 
311859.8      11199007K          1  11130637K       72              0         64 
311859.9      11163302K          0  11135858K       70              2         68 
311859.10     11126193K          1 113751558+       64              1         57 
311859.11     11281095K          1  11165929K       70              1         63 
311859.12     11148932K          1 113942483+       74              2         69 
311859.13     11214473K          1 114508735+       71              1         67 
311859.14     11214843K          0 114666697+       67              2         62 
311859.15     11212427K          1 114551732+       72              2         67 
311859.16     11196378K          0  11167877K       77              0         65 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
311859                                                                                                
311859.batch       10.34M               0         10.34M       16.95M                0         16.95M 
311859.exte+        0.00M              49          0.00M            0               49              0 
311859.0         8154.68M              14       7714.18M       69.94M                0         69.93M 
311859.1         7916.33M               1       7787.16M       66.72M                2         66.72M 
311859.2         7782.44M               1       7709.90M       66.72M                0         66.72M 
311859.3         7983.29M               1       7890.94M       66.72M                2         66.72M 
311859.4         7946.58M               1       7780.53M       66.72M                2         66.72M 
311859.5         7735.12M               0       7677.97M       66.72M                2         66.72M 
311859.6         7765.72M               2       7740.92M       66.72M                2         66.72M 
311859.7         7708.54M               1       7659.46M       66.72M                2         66.72M 
311859.8         7872.24M               0       7746.12M       66.72M                1         66.72M 
311859.9         7622.70M               0       4377.70M       66.72M                0         66.72M 
311859.10        7876.78M               2       7795.99M       66.72M                2         66.72M 
311859.11        7726.94M               2       7718.98M       66.72M                0         66.72M 
311859.12        7804.84M               1       7730.72M       66.72M                0         66.72M 
311859.13        7706.87M               0       7651.48M       66.72M                2         66.72M 
311859.14        7853.04M               1       7781.08M       66.72M                0         66.72M 
311859.15        7626.32M               0       7619.95M       66.72M                0         66.72M 
311859.16        7914.03M               2       7814.50M       66.72M                1         66.72M 

Job 311859 completed at Tue Mar 15 23:44:38 CET 2022
