Starting job 311965 on b[3201-3203,3213,3218-3230,3238-3248,4209-4212,4217,4219-4222,4224,4229-4232,4234-4243,4245-4248,5121-5128] at Wed Mar 16 09:57:02 CET 2022

start running log_Zn64_gs8_tr_j0n_j4n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
311965         Zn64_gs8       8192                                             00:54:03      0:0 
311965.batch      batch        128        1   00:00:00          0   00:00:00   00:54:03      0:0 
311965.exte+     extern       8192       64   00:00:00         61   00:00:00   00:54:03      0:0 
311965.0     hydra_bst+       2048       16 5-20:48:14          9 8-20:53:16   00:53:58      0:0 
311965.1     hydra_bst+        384        3 9-01:48:18          0 9-01:50:38   00:53:57      0:0 
311965.2     hydra_bst+        384        3 9-01:37:51          2 9-01:43:07   00:53:57      0:0 
311965.3     hydra_bst+        384        3 6-03:01:03          2 8-02:04:26   00:53:57      0:0 
311965.4     hydra_bst+        384        3 9-01:36:46          1 9-01:39:36   00:53:57      0:0 
311965.5     hydra_bst+        384        3 5-20:32:06          2 7-23:58:39   00:53:57      0:0 
311965.6     hydra_bst+        384        3 5-18:19:11          0 6-22:55:13   00:53:57      0:0 
311965.7     hydra_bst+        384        3 9-01:40:36          0 9-01:44:09   00:53:57      0:0 
311965.8     hydra_bst+        384        3 9-01:43:29          2 9-01:47:42   00:53:57      0:0 
311965.9     hydra_bst+        384        3 9-01:41:27          0 9-01:43:59   00:53:57      0:0 
311965.10    hydra_bst+        384        3 5-20:38:46          1 8-00:05:16   00:53:57      0:0 
311965.11    hydra_bst+        384        3 9-01:44:58          2 9-01:51:19   00:53:57      0:0 
311965.12    hydra_bst+        384        3 5-23:28:38          0 8-00:59:30   00:53:57      0:0 
311965.13    hydra_bst+        384        3 9-01:40:53          0 9-01:45:29   00:53:57      0:0 
311965.14    hydra_bst+        384        3 9-01:36:56          2 9-01:43:23   00:53:57      0:0 
311965.15    hydra_bst+        384        3 9-01:35:04          1 9-01:42:05   00:53:57      0:0 
311965.16    hydra_bst+        384        3 5-16:16:06          0 7-07:58:57   00:53:57      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
311965                                                                           
311965.batch      8790K          0      8790K       11              0         11 
311965.exte+       853K         19     819152        3             59          1 
311965.0      10985041K          7 111912483+       86              6         71 
311965.1      10946901K          1 111960777+       67              2         64 
311965.2      11014055K          2 111929070+       64              2         59 
311965.3      10952588K          2 111996801+       63              0         60 
311965.4      10942494K          1 111799463+       62              2         55 
311965.5      10970494K          2 111985035+       58              0         56 
311965.6      10946078K          0  10904975K       61              2         56 
311965.7      10997934K          2  10933098K       69              1         62 
311965.8      11009601K          1 112274971+       70              0         64 
311965.9      10947683K          1 111906986+       73              1         66 
311965.10     10925446K          0  10897363K       68              0         65 
311965.11     10919270K          0 111689673+       69              1         66 
311965.12     10918549K          1  10901580K       72              0         63 
311965.13     10986761K          2  10929924K       71              2         68 
311965.14     10960412K          0 112130215+       72              2         65 
311965.15     11001073K          1 112069420+       72              0         67 
311965.16     10903066K          1 111446162+       65              0         59 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
311965                                                                                                
311965.batch       10.39M               0         10.39M       16.95M                0         16.95M 
311965.exte+        0.00M              61          0.00M            0               61              0 
311965.0         7831.57M              14       7499.34M       69.94M                0         69.93M 
311965.1         7679.58M               1       7600.64M       66.72M                1         66.72M 
311965.2         7664.70M               0       7527.43M       66.72M                1         66.72M 
311965.3         7416.83M               0       4271.98M       66.72M                0         66.72M 
311965.4         7540.33M               0       7466.39M       66.72M                1         66.72M 
311965.5         7699.45M               0       7658.20M       66.72M                2         66.72M 
311965.6         7661.30M               2       7608.34M       66.72M                0         66.72M 
311965.7         7633.85M               1       7561.41M       66.72M                1         66.72M 
311965.8         7526.69M               1       7463.78M       66.72M                2         66.72M 
311965.9         7521.17M               2       7467.58M       66.72M                1         66.72M 
311965.10        7545.49M               2       7514.69M       66.72M                2         66.72M 
311965.11        7542.31M               1       7498.15M       66.72M                2         66.72M 
311965.12        7559.31M               2       7541.07M       66.72M                2         66.72M 
311965.13        7485.42M               2       7455.24M       66.72M                0         66.72M 
311965.14        7608.03M               1       7524.43M       66.72M                2         66.72M 
311965.15        7426.98M               2       7410.00M       66.72M                1         66.72M 
311965.16        7720.03M               2       7602.43M       66.72M                1         66.72M 

Job 311965 completed at Wed Mar 16 10:51:05 CET 2022
