Starting job 311966 on b[1370-1371,1374-1396,3353-3359,3366-3369,3382-3383,5162-5172,5177-5180,5186-5196] at Wed Mar 16 09:57:15 CET 2022

start running log_Zn64_gs8_tr_j2n_j2n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
311966         Zn64_gs8       8192                                             01:49:12      0:0 
311966.batch      batch        128        1   00:00:00          0   00:00:00   01:49:12      0:0 
311966.exte+     extern       8192       64   00:00:00         63   00:00:00   01:49:12      0:0 
311966.0     hydra_bst+       2048       16 13-14:14:+          8 18-00:58:+   01:49:10      0:0 
311966.1     hydra_bst+        384        3 18-16:01:+          2 18-16:03:+   01:49:09      0:0 
311966.2     hydra_bst+        384        3 13-22:55:+          0 17-02:14:+   01:49:09      0:0 
311966.3     hydra_bst+        384        3 18-15:59:+          2 18-16:02:+   01:49:09      0:0 
311966.4     hydra_bst+        384        3 18-15:52:+          1 18-15:54:+   01:49:09      0:0 
311966.5     hydra_bst+        384        3 18-15:53:+          0 18-16:00:+   01:49:09      0:0 
311966.6     hydra_bst+        384        3 13-09:36:+          2 15-04:30:+   01:49:09      0:0 
311966.7     hydra_bst+        384        3 13-15:08:+          1 15-10:58:+   01:49:09      0:0 
311966.8     hydra_bst+        384        3 14-18:36:+          2 17-08:45:+   01:49:09      0:0 
311966.9     hydra_bst+        384        3 18-15:57:+          2 18-16:00:+   01:49:09      0:0 
311966.10    hydra_bst+        384        3 18-15:54:+          2 18-15:58:+   01:49:09      0:0 
311966.11    hydra_bst+        384        3 18-16:01:+          2 18-16:04:+   01:49:09      0:0 
311966.12    hydra_bst+        384        3 18-16:00:+          2 18-16:02:+   01:49:09      0:0 
311966.13    hydra_bst+        384        3 18-15:56:+          2 18-16:01:+   01:49:09      0:0 
311966.14    hydra_bst+        384        3 18-16:02:+          2 18-16:04:+   01:49:09      0:0 
311966.15    hydra_bst+        384        3 14-02:49:+          2 17-03:37:+   01:49:09      0:0 
311966.16    hydra_bst+        384        3 12-17:47:+          2 14-19:54:+   01:49:09      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
311966                                                                           
311966.batch      8663K          0      8663K       11              0         11 
311966.exte+       844K         33     858528        3             46          1 
311966.0      11727022K          6 11662248.+      105             14         89 
311966.1      11685273K          0 119413548+       78              0         75 
311966.2      11707637K          2 119361959+       93              2         80 
311966.3      11693132K          1 119444718+       90              0         83 
311966.4      11676923K          1 119293986+       80              0         77 
311966.5      11714624K          2 119677477+       92              2         83 
311966.6      11704727K          1  11686048K       85              0         80 
311966.7      11722859K          0 119570684+       85              0         82 
311966.8      11645134K          2 118994080+       87              0         74 
311966.9      11666945K          1  11645350K       85              0         78 
311966.10     11670212K          0 119300939+       89              1         86 
311966.11     11657809K          0 119197549+       94              2         84 
311966.12     11714006K          1 119805351+       82              0         74 
311966.13        11422M          0 119521716+       81              1         75 
311966.14     11666663K          0 119173369+       85              2         78 
311966.15     11674431K          1 119201102+       78              2         71 
311966.16     11661790K          2 119177700+       92              1         82 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
311966                                                                                                
311966.batch       18.70M               0         18.70M       24.53M                0         24.53M 
311966.exte+        0.00M              63          0.00M            0               63              0 
311966.0         8133.65M              14       7635.26M       79.43M                0         70.52M 
311966.1         7964.28M               1       7753.37M       66.72M                1         66.72M 
311966.2         7724.27M               1       7651.78M       66.72M                1         66.72M 
311966.3         7842.22M               2       7717.45M       66.72M                1         66.72M 
311966.4         7729.21M               1       7677.10M       66.72M                1         66.72M 
311966.5         7769.64M               1       7713.27M       66.72M                1         66.72M 
311966.6         7594.23M               1       7583.29M       66.72M                0         66.72M 
311966.7         7571.71M               0       7555.42M       66.72M                0         66.72M 
311966.8         7538.99M               0       4198.58M       66.72M                1         66.72M 
311966.9         7857.26M               1       7728.73M       66.72M                0         66.72M 
311966.10        7870.22M               1       7719.70M       66.72M                0         66.72M 
311966.11        7642.44M               1       7626.26M       66.72M                1         66.72M 
311966.12           7.50G               0       7612.41M       66.72M                1         66.72M 
311966.13        7664.05M               0       7594.40M       66.72M                1         66.72M 
311966.14        8013.60M               1       7853.45M       66.72M                2         66.72M 
311966.15        7804.27M               1       7698.76M       66.72M                1         66.72M 
311966.16        7788.27M               0       7657.06M       66.72M                0         66.72M 

Job 311966 completed at Wed Mar 16 11:46:27 CET 2022
