Starting job 311967 on b[2249-2250,2253-2254,2256-2258,2260,2262-2263,2270,2272-2273,2276-2277,2280,4150,4158-4159,4163-4171,4177-4182,4191-4196,5250,5256-5278] at Wed Mar 16 09:57:28 CET 2022

start running log_Zn64_gs8_tr_j2n_j4n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
311967         Zn64_gs8       8192                                             01:42:46      0:0 
311967.batch      batch        128        1   00:00:00          0   00:00:00   01:42:46      0:0 
311967.exte+     extern       8192       64   00:00:00         62   00:00:00   01:42:46      0:0 
311967.0     hydra_bst+       2048       16 13-10:35:+         12 17-05:03:+   01:42:43      0:0 
311967.1     hydra_bst+        384        3 17-11:05:+          1 17-11:06:+   01:42:42      0:0 
311967.2     hydra_bst+        384        3 17-11:03:+          1 17-11:07:+   01:42:42      0:0 
311967.3     hydra_bst+        384        3 17-10:58:+          1 17-11:01:+   01:42:42      0:0 
311967.4     hydra_bst+        384        3 17-10:56:+          1 17-11:01:+   01:42:42      0:0 
311967.5     hydra_bst+        384        3 17-10:59:+          2 17-11:02:+   01:42:42      0:0 
311967.6     hydra_bst+        384        3 17-08:19:+          2 17-09:59:+   01:42:42      0:0 
311967.7     hydra_bst+        384        3 13-00:53:+          0 14-07:55:+   01:42:42      0:0 
311967.8     hydra_bst+        384        3 13-07:49:+          0 16-01:59:+   01:42:42      0:0 
311967.9     hydra_bst+        384        3 12-14:11:+          2 15-20:08:+   01:42:42      0:0 
311967.10    hydra_bst+        384        3 17-11:05:+          0 17-11:08:+   01:42:42      0:0 
311967.11    hydra_bst+        384        3 17-11:06:+          2 17-11:09:+   01:42:42      0:0 
311967.12    hydra_bst+        384        3 17-10:57:+          0 17-11:03:+   01:42:42      0:0 
311967.13    hydra_bst+        384        3 17-11:04:+          1 17-11:06:+   01:42:42      0:0 
311967.14    hydra_bst+        384        3 12-19:12:+          1 15-21:50:+   01:42:42      0:0 
311967.15    hydra_bst+        384        3 17-11:12:+          1 17-11:14:+   01:42:42      0:0 
311967.16    hydra_bst+        384        3 17-10:57:+          0 17-11:05:+   01:42:42      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
311967                                                                           
311967.batch      8699K          0      8699K       11              0         11 
311967.exte+       845K         32     834304        3             24          1 
311967.0      10995872K          6 111746748+       96              6         83 
311967.1      10899076K          0  10884886K       80              0         74 
311967.2      10893560K          2 111481797+       93              1         78 
311967.3      10917083K          2 111683703+       81              0         73 
311967.4      10975939K          2 112235615+       82              0         71 
311967.5      10969695K          1 112023739+       78              1         73 
311967.6      10944207K          1 111692967+       87              2         84 
311967.7      11021062K          0 112350917+       75              1         74 
311967.8      10910579K          0 111464553+       90              1         73 
311967.9      10959007K          2 111808897+       84              2         77 
311967.10     10913951K          2  10895366K       86              0         83 
311967.11     10935498K          2  10916065K       78              1         75 
311967.12     10923784K          0 111567998+       94              2         91 
311967.13     10950362K          1  10936140K       82              2         73 
311967.14     11005590K          0 112137284+       79              0         75 
311967.15     10910293K          1 111377913+       78              2         71 
311967.16     10962926K          1 111897279+       92              2         81 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
311967                                                                                                
311967.batch       15.40M               0         15.40M       21.41M                0         21.41M 
311967.exte+        0.00M              62          0.00M            0               62              0 
311967.0         7811.57M              14       7421.60M       79.47M                0         70.52M 
311967.1         7728.72M               1       7568.04M       66.72M                1         66.72M 
311967.2         7532.79M               1       7464.70M       66.72M                1         66.72M 
311967.3         7581.86M               0       7439.52M       66.72M                2         66.72M 
311967.4         7521.72M               1       7453.03M       66.72M                0         66.72M 
311967.5         7467.70M               1       7445.63M       66.72M                2         66.72M 
311967.6         7334.35M               0       4094.05M       66.72M                2         66.72M 
311967.7         7551.54M               1       7494.68M       66.72M                1         66.72M 
311967.8         7360.50M               0       7346.55M       66.72M                1         66.72M 
311967.9         7690.89M               1       7621.81M       66.72M                0         66.72M 
311967.10        7445.51M               2       7423.18M       66.72M                0         66.72M 
311967.11        7534.57M               2       7457.68M       66.72M                2         66.72M 
311967.12        7660.05M               1       7536.35M       66.72M                0         66.72M 
311967.13        7413.48M               1       7388.73M       66.72M                1         66.72M 
311967.14        7416.07M               2       7399.34M       66.72M                1         66.72M 
311967.15        7486.43M               0       7401.99M       66.72M                2         66.72M 
311967.16        7590.64M               2       7512.38M       66.72M                2         66.72M 

Job 311967 completed at Wed Mar 16 11:40:15 CET 2022
