Starting job 311968 on b[3174-3196,3269-3283,3285-3287,4301-4307,4309-4312,4337-4348] at Wed Mar 16 09:57:40 CET 2022

start running log_Zn64_gs8_tr_j2n_j6n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
311968         Zn64_gs8       8192                                             00:54:52      0:0 
311968.batch      batch        128        1   00:00:00          0   00:00:00   00:54:52      0:0 
311968.exte+     extern       8192       64   00:00:00         61   00:00:00   00:54:53      0:0 
311968.0     hydra_bst+       2048       16 6-22:20:43          4 8-16:05:31   00:54:49      0:0 
311968.1     hydra_bst+        384        3 8-21:38:56          1 8-21:39:15   00:54:48      0:0 
311968.2     hydra_bst+        384        3 8-21:28:21          0 8-21:36:50   00:54:48      0:0 
311968.3     hydra_bst+        384        3 8-21:35:44          1 8-21:40:14   00:54:48      0:0 
311968.4     hydra_bst+        384        3 8-21:31:10          0 8-21:40:02   00:54:48      0:0 
311968.5     hydra_bst+        384        3 8-21:32:24          0 8-21:38:12   00:54:48      0:0 
311968.6     hydra_bst+        384        3 6-12:02:13          1 8-02:31:28   00:54:48      0:0 
311968.7     hydra_bst+        384        3 8-21:37:17          1 8-21:38:23   00:54:48      0:0 
311968.8     hydra_bst+        384        3 7-06:11:33          2 8-08:33:25   00:54:48      0:0 
311968.9     hydra_bst+        384        3 6-23:51:57          2 8-06:21:52   00:54:48      0:0 
311968.10    hydra_bst+        384        3 8-21:32:59          0 8-21:40:35   00:54:48      0:0 
311968.11    hydra_bst+        384        3 8-21:36:05          2 8-21:38:16   00:54:48      0:0 
311968.12    hydra_bst+        384        3 8-18:23:14          2 8-20:21:06   00:54:48      0:0 
311968.13    hydra_bst+        384        3 8-21:29:54          2 8-21:39:19   00:54:48      0:0 
311968.14    hydra_bst+        384        3 8-21:40:44          1 8-21:43:25   00:54:48      0:0 
311968.15    hydra_bst+        384        3 8-21:33:26          2 8-21:38:24   00:54:48      0:0 
311968.16    hydra_bst+        384        3 6-19:23:57          2 8-04:55:14   00:54:48      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
311968                                                                           
311968.batch      8700K          0      8700K       11              0         11 
311968.exte+       851K         30     836704        3             28          1 
311968.0      10543342K          4 107237926+       81              6         68 
311968.1      10531087K          1  10472250K       66              0         57 
311968.2      10515939K          2  10490259K       69              0         61 
311968.3      10532286K          1  10487589K       54              2         54 
311968.4      10519279K          2 107045823+       77              2         64 
311968.5      10518328K          1 107236908+       70              0         64 
311968.6      10523995K          2 107157118+       76              1         66 
311968.7      10505490K          0 107312319+       74              0         67 
311968.8      10510862K          2  10481017K       62              0         58 
311968.9      10533722K          1 107360436+       70              0         61 
311968.10     10486371K          2  10449200K       61              1         60 
311968.11     10538091K          1  10488256K       69              0         65 
311968.12     10526571K          1 107194282+       74              2         63 
311968.13     10489892K          2 106975064+       66              0         61 
311968.14     10507562K          2  10490563K       72              0         65 
311968.15     10454594K          1 106810811+       75              0         68 
311968.16     10507552K          2 107186950+       71              2         65 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
311968                                                                                                
311968.batch       10.39M               0         10.39M       16.95M                0         16.95M 
311968.exte+        0.00M              61          0.00M            0               61              0 
311968.0         7503.41M              14       7102.81M       69.94M                0         69.93M 
311968.1         7416.07M               1       7237.16M       66.72M                1         66.72M 
311968.2         7049.92M               1       7040.69M       66.72M                0         66.72M 
311968.3         7036.38M               0       7019.07M       66.72M                2         66.72M 
311968.4         7174.42M               0       7089.00M       66.72M                2         66.72M 
311968.5         7175.11M               1       7106.97M       66.72M                2         66.72M 
311968.6         7228.37M               1       7165.32M       66.72M                2         66.72M 
311968.7         7199.01M               1       7164.69M       66.72M                1         66.72M 
311968.8         7311.69M               2       7187.11M       66.72M                0         66.72M 
311968.9         7081.96M               0       7043.50M       66.72M                1         66.72M 
311968.10        7137.83M               2       7129.89M       66.72M                2         66.72M 
311968.11        7227.79M               1       7137.59M       66.72M                1         66.72M 
311968.12        7012.63M               0       3936.31M       66.72M                2         66.72M 
311968.13        7143.09M               1       7106.37M       66.72M                1         66.72M 
311968.14        7147.45M               0       7071.63M       66.72M                1         66.72M 
311968.15        7339.38M               0       7282.31M       66.72M                1         66.72M 
311968.16        7208.63M               1       7120.38M       66.72M                1         66.72M 

Job 311968 completed at Wed Mar 16 10:52:33 CET 2022
