Starting job 311969 on b[2177-2196,2329-2348,3129-3148,5129-5132] at Wed Mar 16 09:57:50 CET 2022

start running log_Zn64_gs8_tr_j4n_j4n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
311969         Zn64_gs8       8192                                             01:41:55      0:0 
311969.batch      batch        128        1   00:00:00          0   00:00:00   01:41:55      0:0 
311969.exte+     extern       8192       64   00:00:00          4   00:00:00   01:41:55      0:0 
311969.0     hydra_bst+       2048       16 13-17:44:+         13 17-08:22:+   01:41:52      0:0 
311969.1     hydra_bst+        384        3 17-19:31:+          0 17-19:34:+   01:41:52      0:0 
311969.2     hydra_bst+        384        3 13-23:53:+          2 16-12:48:+   01:41:52      0:0 
311969.3     hydra_bst+        384        3 17-19:29:+          1 17-19:31:+   01:41:52      0:0 
311969.4     hydra_bst+        384        3 17-19:26:+          0 17-19:29:+   01:41:52      0:0 
311969.5     hydra_bst+        384        3 13-23:25:+          1 16-12:46:+   01:41:51      0:0 
311969.6     hydra_bst+        384        3 17-19:26:+          2 17-19:29:+   01:41:51      0:0 
311969.7     hydra_bst+        384        3 17-19:29:+          0 17-19:31:+   01:41:51      0:0 
311969.8     hydra_bst+        384        3 17-19:24:+          1 17-19:27:+   01:41:51      0:0 
311969.9     hydra_bst+        384        3 17-19:19:+          1 17-19:25:+   01:41:51      0:0 
311969.10    hydra_bst+        384        3 17-19:24:+          1 17-19:26:+   01:41:51      0:0 
311969.11    hydra_bst+        384        3 17-19:23:+          0 17-19:26:+   01:41:51      0:0 
311969.12    hydra_bst+        384        3 14-02:12:+          1 16-13:39:+   01:41:51      0:0 
311969.13    hydra_bst+        384        3 17-19:24:+          0 17-19:30:+   01:41:51      0:0 
311969.14    hydra_bst+        384        3 13-17:31:+          2 16-10:54:+   01:41:51      0:0 
311969.15    hydra_bst+        384        3 17-19:24:+          0 17-19:27:+   01:41:51      0:0 
311969.16    hydra_bst+        384        3 13-14:00:+          2 16-09:42:+   01:41:51      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
311969                                                                           
311969.batch      8735K          0      8735K       11              0         11 
311969.exte+       855K         21     847920        3              4          1 
311969.0      11189661K          2 113726318+       92             15         81 
311969.1      11105478K          1 113680882+       71              1         67 
311969.2      11117650K          2 113386560+       87              0         81 
311969.3      11120409K          1 113801263+       81              0         78 
311969.4      11120126K          1  11084536K       79              0         77 
311969.5      11145731K          2 113820709+       79              1         77 
311969.6      11146451K          0  11129600K       91              2         81 
311969.7      11160080K          2  11136907K       88              1         82 
311969.8      11129531K          0  11102859K       93              2         84 
311969.9      11143553K          0 113989041+       88              1         84 
311969.10     11101133K          1 113495804+       84              1         75 
311969.11     11141332K          1 113820839+       85              0         77 
311969.12     11202924K          1 114164411+       95              2         83 
311969.13     11109700K          2 113595415+      102              1         86 
311969.14     11143018K          0 113905035+       85              1         82 
311969.15     11123355K          0 113519496+       85              1         78 
311969.16     11116939K          0  11081835K       81              0         74 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
311969                                                                                                
311969.batch       15.52M               0         15.52M       21.41M                0         21.41M 
311969.exte+        0.00M               4          0.00M            0                4              0 
311969.0         7487.11M              14       7205.48M       79.44M                0         70.52M 
311969.1         7490.81M               1       7380.34M       66.72M                2         66.72M 
311969.2         7127.34M               0       3987.19M       66.72M                0         66.72M 
311969.3         7262.91M               2       7217.71M       66.72M                1         66.72M 
311969.4         7331.19M               1       7273.89M       66.72M                2         66.72M 
311969.5         7460.40M               1       7341.65M       66.72M                1         66.72M 
311969.6         7245.52M               0       7211.89M       66.72M                0         66.72M 
311969.7         7316.86M               1       7252.00M       66.72M                2         66.72M 
311969.8         7373.20M               0       7219.71M       66.72M                2         66.72M 
311969.9         7290.51M               0       7189.24M       66.72M                2         66.72M 
311969.10        7285.07M               2       7201.96M       66.72M                2         66.72M 
311969.11        7152.22M               2       7135.37M       66.72M                2         66.72M 
311969.12        7266.86M               0       7207.45M       66.72M                2         66.72M 
311969.13        7438.12M               0       7387.93M       66.72M                0         66.72M 
311969.14        7230.56M               1       7191.89M       66.72M                2         66.72M 
311969.15        7336.72M               2       7305.07M       66.72M                0         66.72M 
311969.16        7301.66M               2       7214.10M       66.72M                1         66.72M 

Job 311969 completed at Wed Mar 16 11:39:45 CET 2022
