Starting job 311972 on b[1130-1133,1253-1271,2124-2126,3249-3252,3288-3290,4104-4108,4201-4208,5279-5296] at Wed Mar 16 10:35:44 CET 2022

start running log_Zn64_gs8_tr_j4n_j8n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
311972         Zn64_gs8       8192                                             00:57:56      0:0 
311972.batch      batch        128        1   00:00:00          0   00:00:00   00:57:56      0:0 
311972.exte+     extern       8192       64   00:00:00         60   00:00:00   00:57:56      0:0 
311972.0     hydra_bst+       2048       16 7-04:54:39         13 9-17:31:29   00:57:53      0:0 
311972.1     hydra_bst+        384        3 10-02:23:+          1 10-02:25:+   00:57:52      0:0 
311972.2     hydra_bst+        384        3 6-14:33:24          0 8-22:27:14   00:57:52      0:0 
311972.3     hydra_bst+        384        3 10-00:37:+          2 10-01:37:+   00:57:52      0:0 
311972.4     hydra_bst+        384        3 7-08:24:20          0 9-04:24:20   00:57:52      0:0 
311972.5     hydra_bst+        384        3 9-17:50:13          0 9-23:30:00   00:57:52      0:0 
311972.6     hydra_bst+        384        3 10-02:18:+          2 10-02:22:+   00:57:52      0:0 
311972.7     hydra_bst+        384        3 10-02:19:+          2 10-02:22:+   00:57:52      0:0 
311972.8     hydra_bst+        384        3 10-02:21:+          2 10-02:25:+   00:57:52      0:0 
311972.9     hydra_bst+        384        3 10-02:20:+          1 10-02:22:+   00:57:52      0:0 
311972.10    hydra_bst+        384        3 10-02:25:+          1 10-02:27:+   00:57:52      0:0 
311972.11    hydra_bst+        384        3 10-02:15:+          0 10-02:21:+   00:57:52      0:0 
311972.12    hydra_bst+        384        3 10-02:21:+          1 10-02:23:+   00:57:52      0:0 
311972.13    hydra_bst+        384        3 10-02:24:+          2 10-02:24:+   00:57:52      0:0 
311972.14    hydra_bst+        384        3 10-02:20:+          0 10-02:21:+   00:57:52      0:0 
311972.15    hydra_bst+        384        3 10-02:24:+          2 10-02:25:+   00:57:52      0:0 
311972.16    hydra_bst+        384        3 10-02:24:+          1 10-02:28:+   00:57:52      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
311972                                                                           
311972.batch      8975K          0      8975K       11              0         11 
311972.exte+       845K         37     847776        3             45          1 
311972.0       9764731K          8 9948032256       88              5         74 
311972.1       9688305K          1 9891014997       71              1         69 
311972.2       9721840K          1   9671957K       62              1         59 
311972.3       9739199K          2 9964418389       70              1         68 
311972.4       9733046K          0 9960208725       68              0         62 
311972.5       9727123K          0 9959827797       59              2         56 
311972.6       9681983K          2   9679773K       67              1         64 
311972.7       9708900K          1 9930695338       71              1         68 
311972.8       9680223K          0   9676138K       71              1         67 
311972.9       9720060K          0 9925939541       65              1         62 
311972.10      9710279K          2   9707465K       69              0         65 
311972.11      9760606K          0   9738891K       68              2         65 
311972.12      9729834K          2 9913302698       70              2         65 
311972.13      9760756K          1   9718034K       63              1         61 
311972.14      9712299K          1 9920892586       65              0         64 
311972.15      9756063K          1 9973406378       66              0         62 
311972.16      9798754K          0 100155153+       72              0         62 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
311972                                                                                                
311972.batch       10.87M               0         10.87M       16.95M                0         16.95M 
311972.exte+        0.00M              60          0.00M            0               60              0 
311972.0         6836.12M              14       6473.55M       69.94M                0         69.93M 
311972.1         6732.57M               1       6629.11M       66.72M                2         66.72M 
311972.2         6545.99M               0       6451.42M       66.72M                2         66.72M 
311972.3         6391.07M               0       3486.76M       66.72M                1         66.72M 
311972.4         6546.61M               1       6503.84M       66.72M                0         66.72M 
311972.5         6625.44M               2       6563.27M       66.72M                0         66.72M 
311972.6         6500.85M               0       6455.28M       66.72M                0         66.72M 
311972.7         6539.07M               2       6490.91M       66.72M                0         66.72M 
311972.8         6611.94M               0       6484.27M       66.72M                2         66.72M 
311972.9         6469.27M               1       6451.90M       66.72M                2         66.72M 
311972.10        6410.67M               2       6399.81M       66.72M                2         66.72M 
311972.11        6714.72M               1       6580.67M       66.72M                1         66.72M 
311972.12        6567.58M               2       6496.36M       66.72M                2         66.72M 
311972.13        6683.32M               0       6646.39M       66.72M                0         66.72M 
311972.14        6484.89M               2       6446.53M       66.72M                0         66.72M 
311972.15        6592.46M               1       6534.39M       66.72M                1         66.72M 
311972.16        6473.66M               1       6451.59M       66.72M                2         66.72M 

Job 311972 completed at Wed Mar 16 11:33:40 CET 2022
