Starting job 311973 on b[3201-3203,3213,3218-3230,3238-3248,4209-4212,4217,4219-4222,4224,4229-4232,4234-4243,4245-4248,5117-5124] at Wed Mar 16 10:51:14 CET 2022

start running log_Zn64_gs8_tr_j6n_j8n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
311973         Zn64_gs8       8192                                             01:24:06      0:0 
311973.batch      batch        128        1   00:00:00          0   00:00:00   01:24:06      0:0 
311973.exte+     extern       8192       64   00:00:00         61   00:00:00   01:24:06      0:0 
311973.0     hydra_bst+       2048       16 10-16:47:+         11 13-19:58:+   01:24:03      0:0 
311973.1     hydra_bst+        384        3 14-17:41:+          0 14-17:45:+   01:24:02      0:0 
311973.2     hydra_bst+        384        3 11-15:17:+          1 13-16:13:+   01:24:02      0:0 
311973.3     hydra_bst+        384        3 14-17:40:+          2 14-17:48:+   01:24:02      0:0 
311973.4     hydra_bst+        384        3 10-22:59:+          1 13-11:31:+   01:24:02      0:0 
311973.5     hydra_bst+        384        3 14-17:34:+          0 14-17:46:+   01:24:02      0:0 
311973.6     hydra_bst+        384        3 11-13:04:+          0 12-01:20:+   01:24:02      0:0 
311973.7     hydra_bst+        384        3 14-17:46:+          0 14-17:47:+   01:24:02      0:0 
311973.8     hydra_bst+        384        3 14-17:40:+          1 14-17:47:+   01:24:02      0:0 
311973.9     hydra_bst+        384        3 14-17:38:+          0 14-17:44:+   01:24:02      0:0 
311973.10    hydra_bst+        384        3 11-15:45:+          2 13-17:02:+   01:24:02      0:0 
311973.11    hydra_bst+        384        3 14-17:39:+          0 14-17:44:+   01:24:02      0:0 
311973.12    hydra_bst+        384        3 14-17:45:+          0 14-17:45:+   01:24:02      0:0 
311973.13    hydra_bst+        384        3 11-12:24:+          0 13-15:56:+   01:24:02      0:0 
311973.14    hydra_bst+        384        3 14-17:41:+          1 14-17:43:+   01:24:01      0:0 
311973.15    hydra_bst+        384        3 14-17:35:+          1 14-17:42:+   01:24:01      0:0 
311973.16    hydra_bst+        384        3 11-12:26:+          2 13-16:03:+   01:24:01      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
311973                                                                           
311973.batch      8794K          0      8794K       11              0         11 
311973.exte+       857K         19     847264        3             63          1 
311973.0       9449017K         15   9314708K       89             10         80 
311973.1       9424877K          0 9556346538       68              0         63 
311973.2       9398119K          0 9580744362       78              0         71 
311973.3       9417309K          2   9361829K       91              2         74 
311973.4       9334031K          1   9332453K       73              0         69 
311973.5       9390617K          1 9552480938       74              1         64 
311973.6       9397243K          0   9316129K       81              1         76 
311973.7       9332750K          0 9541031253       83              0         75 
311973.8       9318059K          0 9513471317       82              0         72 
311973.9       9347790K          2 9542473045       74              2         71 
311973.10      9366232K          0   9333916K       75              1         69 
311973.11      9341388K          1 9539035818       68              2         66 
311973.12      9333258K          1 9535337130       79              0         73 
311973.13      9414997K          0   9354791K       71              1         71 
311973.14      9341638K          0 9528380757       76              0         69 
311973.15      9365248K          2 9544778069       88              0         77 
311973.16      9352216K          0   9326411K       79              2         72 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
311973                                                                                                
311973.batch       15.32M               0         15.32M       21.41M                0         21.41M 
311973.exte+        0.00M              61          0.00M            0               61              0 
311973.0         6528.08M              14       6155.50M       79.34M                0         70.51M 
311973.1         6420.00M               1       6298.29M       66.72M                1         66.72M 
311973.2         6069.35M               0       3328.98M       66.72M                2         66.72M 
311973.3         6204.53M               0       6133.80M       66.72M                2         66.72M 
311973.4         6111.69M               0       6103.59M       66.72M                2         66.72M 
311973.5         6346.66M               2       6238.16M       66.72M                0         66.72M 
311973.6         6105.27M               0       6090.71M       66.72M                1         66.72M 
311973.7         6240.08M               1       6204.50M       66.72M                1         66.72M 
311973.8         6392.88M               0       6307.03M       66.72M                1         66.72M 
311973.9         6143.11M               0       6111.09M       66.72M                0         66.72M 
311973.10        6248.40M               1       6176.39M       66.72M                0         66.72M 
311973.11        6283.12M               1       6209.65M       66.72M                2         66.72M 
311973.12        6231.35M               2       6197.63M       66.72M                2         66.72M 
311973.13        6086.57M               0       6072.40M       66.72M                1         66.72M 
311973.14        6207.16M               0       6121.17M       66.72M                2         66.72M 
311973.15        6200.13M               1       6157.93M       66.72M                1         66.72M 
311973.16           6.00G               1       6112.69M       66.72M                0         66.72M 

Job 311973 completed at Wed Mar 16 12:15:20 CET 2022
