Starting job 311974 on b[3174-3196,3269-3283,3285-3287,4301-4307,4309-4312,4337-4348] at Wed Mar 16 10:52:45 CET 2022

start running log_Zn64_gs8_tr_j6n_j10n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
311974         Zn64_gs8       8192                                             00:42:29      0:0 
311974.batch      batch        128        1   00:00:00          0   00:00:00   00:42:29      0:0 
311974.exte+     extern       8192       64   00:00:00         63   00:00:00   00:42:29      0:0 
311974.0     hydra_bst+       2048       16 5-23:46:29         10 7-03:41:00   00:42:25      0:0 
311974.1     hydra_bst+        384        3 5-23:58:54          1 6-21:18:50   00:42:25      0:0 
311974.2     hydra_bst+        384        3 7-07:52:31          0 7-07:58:46   00:42:25      0:0 
311974.3     hydra_bst+        384        3 7-08:00:58          0 7-08:04:06   00:42:25      0:0 
311974.4     hydra_bst+        384        3 7-07:51:04          0 7-07:54:48   00:42:25      0:0 
311974.5     hydra_bst+        384        3 7-07:50:44          1 7-07:55:45   00:42:25      0:0 
311974.6     hydra_bst+        384        3 5-22:41:56          0 6-20:50:03   00:42:25      0:0 
311974.7     hydra_bst+        384        3 7-07:57:16          1 7-07:58:13   00:42:25      0:0 
311974.8     hydra_bst+        384        3 7-07:49:05          0 7-07:56:28   00:42:25      0:0 
311974.9     hydra_bst+        384        3 7-07:56:04          2 7-07:56:57   00:42:25      0:0 
311974.10    hydra_bst+        384        3 7-07:56:13          0 7-07:56:31   00:42:25      0:0 
311974.11    hydra_bst+        384        3 7-07:51:35          2 7-07:55:09   00:42:25      0:0 
311974.12    hydra_bst+        384        3 7-07:57:15          1 7-07:59:32   00:42:25      0:0 
311974.13    hydra_bst+        384        3 7-07:55:38          1 7-07:59:35   00:42:25      0:0 
311974.14    hydra_bst+        384        3 6-08:01:39          1 6-23:29:52   00:42:25      0:0 
311974.15    hydra_bst+        384        3 5-14:01:34          2 6-17:59:31   00:42:25      0:0 
311974.16    hydra_bst+        384        3 7-07:56:47          0 7-07:58:03   00:42:24      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
311974                                                                           
311974.batch      8688K          0      8688K       11              0         11 
311974.exte+       853K         30     813232        3             29          1 
311974.0       8786873K          5 8956322560       76             15         67 
311974.1       8766748K          2 8935619925       57              0         56 
311974.2       8713049K          0   8699569K       66              0         60 
311974.3       8726045K          2 8911791445       66              2         61 
311974.4       8786288K          2   8760776K       64              2         59 
311974.5       8730508K          2 8903881386       65              2         58 
311974.6       8752966K          2   8705270K       61              1         58 
311974.7       8801239K          1 8970895018       61              2         57 
311974.8       8806406K          2   8766528K       65              0         62 
311974.9       8711811K          0 8901642922       64              2         57 
311974.10      8804290K          2   8763774K       63              0         58 
311974.11      8725536K          0 8927069866       58              0         56 
311974.12      8790892K          1   8755600K       65              2         61 
311974.13      8756250K          1   8713432K       76              0         66 
311974.14      8760869K          1 8932124330       73              0         67 
311974.15      8738497K          2   8699244K       66              2         58 
311974.16      8734872K          0 8911299242       66              2         58 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
311974                                                                                                
311974.batch       10.39M               0         10.39M       16.95M                0         16.95M 
311974.exte+        0.00M              63          0.00M            0               63              0 
311974.0         5983.33M              14       5701.80M       69.94M                0         69.93M 
311974.1         5903.45M               1       5804.62M       66.72M                2         66.72M 
311974.2         5748.41M               0       5682.03M       66.72M                1         66.72M 
311974.3         5882.91M               2       5784.86M       66.72M                2         66.72M 
311974.4         5644.00M               0       5642.15M       66.72M                2         66.72M 
311974.5         5786.50M               2       5744.08M       66.72M                2         66.72M 
311974.6         5796.97M               1       5738.10M       66.72M                2         66.72M 
311974.7            5.50G               0       5619.09M       66.72M                1         66.72M 
311974.8         5751.93M               2       5721.28M       66.72M                1         66.72M 
311974.9         5749.17M               1       5698.64M       66.72M                1         66.72M 
311974.10        5705.63M               1       5667.96M       66.72M                1         66.72M 
311974.11        5777.90M               0       5689.76M       66.72M                2         66.72M 
311974.12        5651.10M               0       5634.97M       66.72M                2         66.72M 
311974.13        5725.84M               0       5656.05M       66.72M                1         66.72M 
311974.14        5614.27M               0       3060.50M       66.72M                0         66.72M 
311974.15        5875.28M               0       5826.63M       66.72M                2         66.72M 
311974.16        5761.65M               1       5696.31M       66.72M                2         66.72M 

Job 311974 completed at Wed Mar 16 11:35:13 CET 2022
