Starting job 311975 on b[1253-1271,2154-2157,2161-2165,2171-2172,3249-3252,3288-3290,4104,4201-4208,5279-5296] at Wed Mar 16 11:33:45 CET 2022

start running log_Zn64_gs8_tr_j8n_j8n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
311975         Zn64_gs8       8192                                             01:29:38      0:0 
311975.batch      batch        128        1   00:00:00          0   00:00:00   01:29:38      0:0 
311975.exte+     extern       8192       64   00:00:00         61   00:00:00   01:29:38      0:0 
311975.0     hydra_bst+       2048       16 13-15:54:+         15 15-16:21:+   01:29:36      0:0 
311975.1     hydra_bst+        384        3 13-22:40:+          1 15-04:37:+   01:29:35      0:0 
311975.2     hydra_bst+        384        3 15-19:34:+          2 15-19:36:+   01:29:35      0:0 
311975.3     hydra_bst+        384        3 15-19:35:+          0 15-19:38:+   01:29:35      0:0 
311975.4     hydra_bst+        384        3 13-12:43:+          1 15-01:20:+   01:29:35      0:0 
311975.5     hydra_bst+        384        3 15-19:35:+          0 15-19:38:+   01:29:35      0:0 
311975.6     hydra_bst+        384        3 13-12:50:+          0 15-01:21:+   01:29:35      0:0 
311975.7     hydra_bst+        384        3 15-04:26:+          0 15-14:33:+   01:29:35      0:0 
311975.8     hydra_bst+        384        3 15-19:35:+          1 15-19:36:+   01:29:35      0:0 
311975.9     hydra_bst+        384        3 15-19:35:+          2 15-19:38:+   01:29:35      0:0 
311975.10    hydra_bst+        384        3 12-11:16:+          2 14-16:51:+   01:29:35      0:0 
311975.11    hydra_bst+        384        3 15-19:34:+          2 15-19:36:+   01:29:35      0:0 
311975.12    hydra_bst+        384        3 15-19:34:+          1 15-19:35:+   01:29:35      0:0 
311975.13    hydra_bst+        384        3 13-15:52:+          2 14-12:49:+   01:29:35      0:0 
311975.14    hydra_bst+        384        3 15-19:04:+          2 15-19:22:+   01:29:35      0:0 
311975.15    hydra_bst+        384        3 15-19:36:+          0 15-19:38:+   01:29:35      0:0 
311975.16    hydra_bst+        384        3 15-19:33:+          2 15-19:36:+   01:29:35      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
311975                                                                           
311975.batch      8823K          0      8823K       11              0         11 
311975.exte+       847K         19     858736        3             21          1 
311975.0       9314393K          6 9454445120       93              4         78 
311975.1       9313557K          1   9269796K       83              0         74 
311975.2       9300836K          1   9227095K       88              0         81 
311975.3       9245870K          2 9459372373       83              0         75 
311975.4       9269655K          2   9249528K       81              2         74 
311975.5       9259408K          1 9439530666       74              0         68 
311975.6       9283686K          0   9240436K       72              0         69 
311975.7       9239240K          2 9439596885       77              1         72 
311975.8       9240588K          2 9432453461       83              2         76 
311975.9       9234754K          2   9209242K       85              2         76 
311975.10      9240996K          2   9218804K       86              1         71 
311975.11      9260118K          1 9462904490       86              0         79 
311975.12      9203542K          0 9411685717       79              2         77 
311975.13      9236838K          1 9442746709       91              2         75 
311975.14      9274586K          1 9457914538       75              0         72 
311975.15      9259336K          2 9459583317       89              2         77 
311975.16      9227577K          2 9434578602       78              1         71 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
311975                                                                                                
311975.batch       15.18M               0         15.18M       21.41M                0         21.41M 
311975.exte+        0.00M              61          0.00M            0               61              0 
311975.0         6182.88M              14       5739.98M       79.00M                0         70.49M 
311975.1         5972.07M               1       5875.63M       66.72M                1         66.72M 
311975.2         5732.24M               1       5689.60M       66.72M                2         66.72M 
311975.3         5911.89M               2       5819.27M       66.72M                2         66.72M 
311975.4         5672.02M               0       5662.02M       66.72M                0         66.72M 
311975.5         5732.64M               0       5700.88M       66.72M                0         66.72M 
311975.6         5966.83M               1       5817.47M       66.72M                2         66.72M 
311975.7         5774.26M               1       5753.59M       66.72M                0         66.72M 
311975.8         5812.87M               2       5761.85M       66.72M                0         66.72M 
311975.9         5926.49M               0       5902.86M       66.72M                0         66.72M 
311975.10        5851.47M               1       5792.66M       66.72M                1         66.72M 
311975.11        5710.88M               0       5689.01M       66.72M                0         66.72M 
311975.12        5845.56M               1       5776.41M       66.72M                2         66.72M 
311975.13        5738.81M               0       5709.05M       66.72M                2         66.72M 
311975.14        5652.53M               0       2984.04M       66.72M                0         66.72M 
311975.15        5799.45M               0       5711.52M       66.72M                2         66.72M 
311975.16        5848.53M               0       5746.65M       66.72M                1         66.72M 

Job 311975 completed at Wed Mar 16 13:03:23 CET 2022
