Starting job 311976 on b[3174-3196,3269-3283,3285-3287,4301-4307,4309-4312,4337-4348] at Wed Mar 16 11:35:15 CET 2022

start running log_Zn64_gs8_tr_j8n_j10n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
311976         Zn64_gs8       8192                                             01:14:04      0:0 
311976.batch      batch        128        1   00:00:00          0   00:00:00   01:14:04      0:0 
311976.exte+     extern       8192       64   00:00:00         60   00:00:00   01:14:04      0:0 
311976.0     hydra_bst+       2048       16 10-18:32:+         15 12-20:10:+   01:14:01      0:0 
311976.1     hydra_bst+        384        3 12-22:49:+          0 12-22:53:+   01:14:00      0:0 
311976.2     hydra_bst+        384        3 12-22:49:+          1 12-22:51:+   01:14:00      0:0 
311976.3     hydra_bst+        384        3 12-22:46:+          2 12-22:49:+   01:14:01      0:0 
311976.4     hydra_bst+        384        3 12-22:45:+          0 12-22:49:+   01:14:00      0:0 
311976.5     hydra_bst+        384        3 12-22:50:+          2 12-22:51:+   01:14:00      0:0 
311976.6     hydra_bst+        384        3 10-12:08:+          0 12-03:17:+   01:14:00      0:0 
311976.7     hydra_bst+        384        3 12-22:48:+          1 12-22:50:+   01:14:00      0:0 
311976.8     hydra_bst+        384        3 12-22:50:+          2 12-22:50:+   01:14:00      0:0 
311976.9     hydra_bst+        384        3 12-22:51:+          2 12-22:52:+   01:14:00      0:0 
311976.10    hydra_bst+        384        3 12-22:51:+          1 12-22:55:+   01:14:00      0:0 
311976.11    hydra_bst+        384        3 12-22:45:+          0 12-22:49:+   01:14:00      0:0 
311976.12    hydra_bst+        384        3 10-09:46:+          0 12-02:25:+   01:14:00      0:0 
311976.13    hydra_bst+        384        3 10-14:22:+          0 12-03:40:+   01:14:00      0:0 
311976.14    hydra_bst+        384        3 11-10:28:+          2 12-10:41:+   01:14:00      0:0 
311976.15    hydra_bst+        384        3 12-22:46:+          1 12-22:47:+   01:14:00      0:0 
311976.16    hydra_bst+        384        3 10-18:04:+          0 12-05:15:+   01:13:59      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
311976                                                                           
311976.batch      8696K          0      8696K       11              0         11 
311976.exte+       853K         30     847040        3             45          1 
311976.0       8435628K         14 8532605312       90              9         76 
311976.1       8313683K          1 8482756266       74              1         44 
311976.2       8364427K          1 8560521898       72              2         68 
311976.3       8348545K          2 8544254634       68              1         64 
311976.4       8381360K          0 8570138282       71              0         65 
311976.5       8378317K          2 8549769898       75              1         72 
311976.6       8314978K          2 8486198954       82              1         70 
311976.7       8386644K          0 8510793386       66              0         65 
311976.8       8358533K          0 8534462805       71              0         63 
311976.9       8330744K          1   8321744K       69              0         67 
311976.10      8385221K          2 8583748266       75              2         65 
311976.11      8352035K          1 8508105045       80              2         73 
311976.12      8359680K          1 8512141994       82              1         72 
311976.13      8381124K          2 8526878378       73              0         70 
311976.14      8350456K          0 8503843498       72              2         69 
311976.15      8336586K          0 8513504938       77              0         74 
311976.16      8421955K          2 8584534698       66              2         62 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
311976                                                                                                
311976.batch       15.13M               0         15.13M       21.41M                0         21.41M 
311976.exte+        0.00M              60          0.00M            0               60              0 
311976.0         5639.19M              14       5287.70M       79.14M                0         70.50M 
311976.1         5456.69M               1       3783.04M       66.72M                2         47.56M 
311976.2         5393.44M               0       5295.97M       66.72M                0         66.72M 
311976.3         5294.28M               1       5245.97M       66.72M                1         66.72M 
311976.4         5454.71M               1       5352.89M       66.72M                2         66.72M 
311976.5         5368.62M               0       5280.75M       66.72M                1         66.72M 
311976.6         5409.54M               1       5327.41M       66.72M                1         66.72M 
311976.7         5272.21M               0       5248.68M       66.72M                0         66.72M 
311976.8         5334.52M               2       5286.47M       66.72M                1         66.72M 
311976.9         5219.29M               0       5209.83M       66.72M                2         66.72M 
311976.10        5449.34M               2       5367.16M       66.72M                2         66.72M 
311976.11        5319.19M               0       5247.45M       66.72M                1         66.72M 
311976.12        5464.98M               1       5423.38M       66.72M                2         66.72M 
311976.13        5198.44M               0       2716.52M       66.72M                0         66.72M 
311976.14        5347.39M               1       5299.74M       66.72M                0         66.72M 
311976.15        5257.68M               0       5234.18M       66.72M                0         66.72M 
311976.16        5336.84M               1       5293.06M       66.72M                2         66.72M 

Job 311976 completed at Wed Mar 16 12:49:19 CET 2022
