Starting job 311978 on b[2153,2177-2196,2329-2348,3129-3148,5129-5131] at Wed Mar 16 11:39:59 CET 2022

start running log_Zn64_gs8_tr_j8n_j12n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
311978         Zn64_gs8       8192                                             00:35:05      0:0 
311978.batch      batch        128        1   00:00:00          0   00:00:00   00:35:05      0:0 
311978.exte+     extern       8192       64   00:00:00         63   00:00:00   00:35:05      0:0 
311978.0     hydra_bst+       2048       16 5-04:48:11          8 5-21:14:21   00:35:03      0:0 
311978.1     hydra_bst+        384        3 6-00:06:54          2 6-00:11:20   00:35:02      0:0 
311978.2     hydra_bst+        384        3 5-04:05:43          0 5-17:30:10   00:35:02      0:0 
311978.3     hydra_bst+        384        3 5-06:01:49          0 5-18:09:49   00:35:02      0:0 
311978.4     hydra_bst+        384        3 6-00:05:00          0 6-00:07:48   00:35:02      0:0 
311978.5     hydra_bst+        384        3 6-00:10:28          1 6-00:13:07   00:35:02      0:0 
311978.6     hydra_bst+        384        3 5-07:03:33          2 5-18:28:06   00:35:02      0:0 
311978.7     hydra_bst+        384        3 6-00:09:49          2 6-00:12:38   00:35:02      0:0 
311978.8     hydra_bst+        384        3 5-04:20:06          2 5-13:44:20   00:35:02      0:0 
311978.9     hydra_bst+        384        3 6-00:08:20          0 6-00:09:28   00:35:02      0:0 
311978.10    hydra_bst+        384        3 6-00:07:20          1 6-00:10:42   00:35:02      0:0 
311978.11    hydra_bst+        384        3 5-10:57:01          2 5-19:45:50   00:35:02      0:0 
311978.12    hydra_bst+        384        3 6-00:10:27          1 6-00:14:46   00:35:02      0:0 
311978.13    hydra_bst+        384        3 5-02:13:12          2 5-12:26:44   00:35:02      0:0 
311978.14    hydra_bst+        384        3 6-00:12:24          0 6-00:13:03   00:35:02      0:0 
311978.15    hydra_bst+        384        3 6-00:14:23          0 6-00:15:25   00:35:02      0:0 
311978.16    hydra_bst+        384        3 5-06:10:05          1 5-18:12:46   00:35:01      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
311978                                                                           
311978.batch      8647K          0      8647K       11              0         11 
311978.exte+       857K         22     846880        3             36          1 
311978.0       7775984K          5 7875429248       84             13         67 
311978.1       7739842K          0 7900567893       63              0         59 
311978.2       7682719K          0   7657735K       62              2         54 
311978.3       7687402K          2   7667988K       63              2         54 
311978.4       7675944K          2 7844373845       64              2         54 
311978.5       7683785K          1 7852907178       60              2         54 
311978.6       7752815K          2 7859205461       64              1         58 
311978.7       7712159K          0 7866272426       57              2         53 
311978.8       7667330K          0 7841041066       58              1         57 
311978.9       7693954K          0   7671123K       64              2         61 
311978.10      7702124K          0 7857141418       67              1         56 
311978.11      7760091K          2 7886334293       63              2         59 
311978.12      7650882K          0 7828777301       59              2         56 
311978.13      7752701K          2 7882570069       56              0         54 
311978.14      7729914K          0 7891654997       59              2         50 
311978.15      7697748K          0   7687230K       64              1         61 
311978.16      7763745K          1 7900165802       74              1         69 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
311978                                                                                                
311978.batch       10.33M               0         10.33M       16.95M                0         16.95M 
311978.exte+        0.00M              63          0.00M            0               63              0 
311978.0         5138.94M              14       4820.95M       69.94M                0         69.93M 
311978.1         5050.33M               1       4940.18M       66.72M                2         66.72M 
311978.2         5035.41M               1       4907.14M       66.72M                1         66.72M 
311978.3         4842.46M               2       4829.70M       66.72M                2         66.72M 
311978.4         4860.46M               0       4804.83M       66.72M                2         66.72M 
311978.5         4902.82M               0       4813.04M       66.72M                2         66.72M 
311978.6         4854.67M               1       4815.39M       66.72M                1         66.72M 
311978.7         4859.49M               1       4794.25M       66.72M                2         66.72M 
311978.8         4741.27M               0       2390.46M       66.72M                2         66.72M 
311978.9         4851.45M               0       4790.31M       66.72M                0         66.72M 
311978.10        4761.09M               2       4753.00M       66.72M                1         66.72M 
311978.11        4895.25M               1       4830.82M       66.72M                0         66.72M 
311978.12        4908.98M               2       4882.38M       66.72M                0         66.72M 
311978.13        4987.27M               0       4973.52M       66.72M                1         66.72M 
311978.14        4834.79M               0       4792.28M       66.72M                2         66.72M 
311978.15        4894.53M               1       4847.39M       66.72M                0         66.72M 
311978.16        4802.31M               1       4779.38M       66.72M                1         66.72M 

Job 311978 completed at Wed Mar 16 12:15:05 CET 2022
