Starting job 311979 on b[2249-2250,2253-2254,2256-2258,2260,2262-2263,2270,2272-2273,2276-2277,2280,4150,4158-4159,4163-4171,4177-4182,4191-4196,5250,5256-5278] at Wed Mar 16 11:40:45 CET 2022

start running log_Zn64_gs8_tr_j10n_j10n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
311979         Zn64_gs8       8192                                             01:11:37      0:0 
311979.batch      batch        128        1   00:00:00          0   00:00:00   01:11:37      0:0 
311979.exte+     extern       8192       64   00:00:00         60   00:00:00   01:11:37      0:0 
311979.0     hydra_bst+       2048       16 10-12:24:+          2 12-03:20:+   01:11:35      0:0 
311979.1     hydra_bst+        384        3 12-14:42:+          0 12-14:42:+   01:11:34      0:0 
311979.2     hydra_bst+        384        3 10-17:18:+          2 11-09:04:+   01:11:34      0:0 
311979.3     hydra_bst+        384        3 10-19:42:+          1 12-00:23:+   01:11:34      0:0 
311979.4     hydra_bst+        384        3 12-14:42:+          1 12-14:43:+   01:11:34      0:0 
311979.5     hydra_bst+        384        3 10-05:18:+          1 11-19:34:+   01:11:34      0:0 
311979.6     hydra_bst+        384        3 12-14:40:+          1 12-14:41:+   01:11:34      0:0 
311979.7     hydra_bst+        384        3 10-13:12:+          1 11-22:12:+   01:11:34      0:0 
311979.8     hydra_bst+        384        3 10-11:21:+          0 11-21:34:+   01:11:34      0:0 
311979.9     hydra_bst+        384        3 12-14:33:+          2 12-14:39:+   01:11:34      0:0 
311979.10    hydra_bst+        384        3 10-23:43:+          1 12-01:42:+   01:11:34      0:0 
311979.11    hydra_bst+        384        3 12-14:40:+          2 12-14:42:+   01:11:34      0:0 
311979.12    hydra_bst+        384        3 10-14:16:+          0 11-22:34:+   01:11:34      0:0 
311979.13    hydra_bst+        384        3 12-14:42:+          0 12-14:42:+   01:11:34      0:0 
311979.14    hydra_bst+        384        3 12-14:41:+          1 12-14:42:+   01:11:34      0:0 
311979.15    hydra_bst+        384        3 10-18:41:+          2 12-00:02:+   01:11:34      0:0 
311979.16    hydra_bst+        384        3 12-14:40:+          0 12-14:42:+   01:11:34      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
311979                                                                           
311979.batch      8691K          0      8691K       11              0         11 
311979.exte+       849K         32    825.50K        3             24          1 
311979.0       8090659K         12 8238010176       88             11         75 
311979.1       8041273K          1 8220465834       78              0         70 
311979.2       8053551K          2   8050676K       70              1         65 
311979.3       8046781K          2 8223599957       86              2         71 
311979.4       8062074K          1 8245605717       74              1         67 
311979.5       8054134K          0   8030776K       73              2         69 
311979.6       8031289K          2 8216856917       69              0         68 
311979.7       8053354K          0 8230198954       79              0         70 
311979.8       8082776K          0 8236102314       79              1         72 
311979.9       8062368K          1 8233023146       76              0         69 
311979.10      8049451K          1   8036670K       69              0         63 
311979.11      8062285K          1 8243948885       78              2         70 
311979.12      8095793K          2 8245862058       73              1         67 
311979.13      8071042K          2 8246688085       79              1         73 
311979.14      8066537K          1 8222733994       74              1         63 
311979.15      8043010K          1 8215401130       68              1         65 
311979.16      8051449K          2 8235588949       88              1         75 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
311979                                                                                                
311979.batch       15.21M               0         15.21M       21.41M                0         21.41M 
311979.exte+        0.00M              60          0.00M            0               60              0 
311979.0         5093.48M              14       4833.29M       79.27M                0         70.51M 
311979.1         4939.12M               1       4888.38M       66.72M                2         66.72M 
311979.2         5002.31M               0       4858.35M       66.72M                0         66.72M 
311979.3         4984.58M               2       4912.86M       66.72M                2         66.72M 
311979.4         4802.32M               0       4777.27M       66.72M                1         66.72M 
311979.5         4849.64M               2       4820.87M       66.72M                2         66.72M 
311979.6         4936.23M               0       4843.12M       66.72M                1         66.72M 
311979.7         5036.93M               1       4942.00M       66.72M                0         66.72M 
311979.8         4965.44M               1       4860.00M       66.72M                1         66.72M 
311979.9         4742.32M               0       2446.97M       66.72M                1         66.72M 
311979.10        4854.21M               1       4800.24M       66.72M                2         66.72M 
311979.11        4803.42M               0       4786.13M       66.72M                2         66.72M 
311979.12        4836.83M               0       4781.27M       66.72M                1         66.72M 
311979.13        4764.43M               0       4755.47M       66.72M                2         66.72M 
311979.14        4897.31M               1       4830.41M       66.72M                0         66.72M 
311979.15        4854.09M               2       4809.06M       66.72M                1         66.72M 
311979.16        4940.56M               1       4886.28M       66.72M                2         66.72M 

Job 311979 completed at Wed Mar 16 12:52:23 CET 2022
