Starting job 311980 on b[2124-2126,2128-2133,2141,2143-2148,2352,2370,2376-2390,5132-5148,5207-5209,5223-5228,5240-5244] at Wed Mar 16 11:43:45 CET 2022

start running log_Zn64_gs8_tr_j10n_j12n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
311980         Zn64_gs8       8192                                             01:06:20      0:0 
311980.batch      batch        128        1   00:00:00          0   00:00:00   01:06:20      0:0 
311980.exte+     extern       8192       64   00:00:00         61   00:00:00   01:06:20      0:0 
311980.0     hydra_bst+       2048       16 9-03:41:56          7 11-05:30:+   01:06:17      0:0 
311980.1     hydra_bst+        384        3 11-13:03:+          0 11-13:07:+   01:06:17      0:0 
311980.2     hydra_bst+        384        3 11-13:06:+          2 11-13:07:+   01:06:17      0:0 
311980.3     hydra_bst+        384        3 8-22:27:36          0 10-16:15:+   01:06:17      0:0 
311980.4     hydra_bst+        384        3 11-13:05:+          1 11-13:07:+   01:06:17      0:0 
311980.5     hydra_bst+        384        3 11-13:05:+          1 11-13:07:+   01:06:17      0:0 
311980.6     hydra_bst+        384        3 11-13:01:+          2 11-13:05:+   01:06:17      0:0 
311980.7     hydra_bst+        384        3 11-13:05:+          1 11-13:08:+   01:06:17      0:0 
311980.8     hydra_bst+        384        3 9-00:48:28          1 10-16:59:+   01:06:17      0:0 
311980.9     hydra_bst+        384        3 8-18:48:16          2 10-15:00:+   01:06:17      0:0 
311980.10    hydra_bst+        384        3 8-19:18:31          2 10-15:12:+   01:06:17      0:0 
311980.11    hydra_bst+        384        3 8-21:43:37          2 10-16:00:+   01:06:17      0:0 
311980.12    hydra_bst+        384        3 9-06:22:09          1 10-18:40:+   01:06:17      0:0 
311980.13    hydra_bst+        384        3 9-02:14:16          1 10-17:28:+   01:06:17      0:0 
311980.14    hydra_bst+        384        3 11-13:03:+          0 11-13:05:+   01:06:17      0:0 
311980.15    hydra_bst+        384        3 9-02:36:19          1 10-17:36:+   01:06:17      0:0 
311980.16    hydra_bst+        384        3 11-13:03:+          0 11-13:07:+   01:06:17      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
311980                                                                           
311980.batch      8743K          0      8743K       11              0         11 
311980.exte+       842K         54     858080        3             59          1 
311980.0       7348648K         12 7443672384       85              6         75 
311980.1       7306847K          0   7266928K       72              0         70 
311980.2       7355157K          1   7283345K       75              1         68 
311980.3       7295283K          0 7437973845       77              0         68 
311980.4       7297733K          0 7439675733       72              0         62 
311980.5       7282191K          1 7444957525       61              1         60 
311980.6       7304125K          0   7263446K       73              0         68 
311980.7       7311781K          0 7466939733       75              2         62 
311980.8       7274799K          1 7432054101       81              1         65 
311980.9       7326114K          0   7268431K       84              2         69 
311980.10      7263100K          2 7410641578       71              1         69 
311980.11      7268487K          1 7432100522       66              0         58 
311980.12      7314668K          0 7448952490       79              2         67 
311980.13      7328441K          0 7457195690       78              2         70 
311980.14      7276111K          1 7381270186       64              0         60 
311980.15      7285313K          2 7425650005       67              2         62 
311980.16      7343332K          1 7474158933       70              0         67 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
311980                                                                                                
311980.batch       15.28M               0         15.28M       21.41M                0         21.41M 
311980.exte+        0.00M              61          0.00M            0               61              0 
311980.0         4594.43M              14       4367.97M       79.21M                0         70.51M 
311980.1         4533.85M               1       4446.58M       66.72M                1         66.72M 
311980.2         4396.07M               1       4353.10M       66.72M                1         66.72M 
311980.3         4451.59M               1       4381.12M       66.72M                2         66.72M 
311980.4         4420.55M               1       4349.67M       66.72M                2         66.72M 
311980.5         4539.04M               1       4493.29M       66.72M                1         66.72M 
311980.6         4522.41M               1       4441.68M       66.72M                1         66.72M 
311980.7         4445.38M               2       4429.23M       66.72M                2         66.72M 
311980.8         4302.98M               2       4299.79M       66.72M                0         66.72M 
311980.9         4495.33M               0       4383.60M       66.72M                0         66.72M 
311980.10        4446.74M               0       4361.32M       66.72M                1         66.72M 
311980.11        4363.19M               2       4353.45M       66.72M                0         66.72M 
311980.12        4286.29M               0       2122.05M       66.72M                2         66.72M 
311980.13        4346.76M               1       4323.63M       66.72M                2         66.72M 
311980.14        4416.29M               1       4353.89M       66.72M                0         66.72M 
311980.15        4367.15M               0       4330.88M       66.72M                0         66.72M 
311980.16        4370.25M               0       4325.29M       66.72M                0         66.72M 

Job 311980 completed at Wed Mar 16 12:50:09 CET 2022
