Starting job 311982 on b[2215-2222,2228,2230,2235,2301-2303,2307-2308,2329-2348,3112-3114,3116,3125-3148] at Wed Mar 16 12:15:16 CET 2022

start running log_Zn64_gs8_tr_j10n_j14n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
311982         Zn64_gs8       8192                                             00:28:14      0:0 
311982.batch      batch        128        1   00:00:00          0   00:00:00   00:28:14      0:0 
311982.exte+     extern       8192       64   00:00:00         36   00:00:00   00:28:14      0:0 
311982.0     hydra_bst+       2048       16 3-20:50:49          6 4-17:39:45   00:28:11      0:0 
311982.1     hydra_bst+        384        3 4-20:44:01          0 4-20:49:50   00:28:10      0:0 
311982.2     hydra_bst+        384        3 4-20:35:20          1 4-20:42:37   00:28:10      0:0 
311982.3     hydra_bst+        384        3 4-20:45:38          1 4-20:48:38   00:28:10      0:0 
311982.4     hydra_bst+        384        3 4-20:35:40          1 4-20:41:07   00:28:10      0:0 
311982.5     hydra_bst+        384        3 4-20:47:06          0 4-20:51:33   00:28:10      0:0 
311982.6     hydra_bst+        384        3 4-07:33:52          1 4-16:27:25   00:28:10      0:0 
311982.7     hydra_bst+        384        3 4-12:03:14          0 4-17:22:19   00:28:10      0:0 
311982.8     hydra_bst+        384        3 4-03:36:54          0 4-15:00:50   00:28:10      0:0 
311982.9     hydra_bst+        384        3 4-20:46:36          1 4-20:48:25   00:28:10      0:0 
311982.10    hydra_bst+        384        3 4-20:46:27          1 4-20:50:15   00:28:10      0:0 
311982.11    hydra_bst+        384        3 4-20:40:16          1 4-20:47:21   00:28:10      0:0 
311982.12    hydra_bst+        384        3 4-20:46:00          1 4-20:49:32   00:28:10      0:0 
311982.13    hydra_bst+        384        3 4-20:46:17          2 4-20:49:45   00:28:10      0:0 
311982.14    hydra_bst+        384        3 4-20:40:09          1 4-20:43:46   00:28:10      0:0 
311982.15    hydra_bst+        384        3 4-07:42:22          1 4-16:28:00   00:28:10      0:0 
311982.16    hydra_bst+        384        3 4-07:56:21          1 4-16:11:08   00:28:10      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
311982                                                                           
311982.batch      8715K          0      8715K       11              0         11 
311982.exte+       859K         17     859776        3             38          1 
311982.0       6730856K         11 6841470592       68              3         61 
311982.1       6736775K          0 6871126698       54              1         53 
311982.2       6720654K          1 6865481045       62              1         51 
311982.3       6746815K          1 6866484906       72              0         61 
311982.4       6743412K          0 6859309397       61              0         55 
311982.5       6721924K          0   6684149K       60              1         54 
311982.6       6718823K          1   6689533K       56              2         52 
311982.7       6761849K          2   6748181K       59              1         54 
311982.8       6670368K          0 6811778389       59              1         52 
311982.9       6736188K          0   6710602K       63              0         58 
311982.10      6726075K          2 6857711274       56              2         53 
311982.11      6719151K          2 6857647445       53              2         49 
311982.12      6722530K          2 6841722538       55              0         51 
311982.13      6740846K          2   6711090K       60              1         57 
311982.14      6751333K          0 6880580949       63              2         60 
311982.15      6727066K          2 6859031893       62              1         55 
311982.16      6767204K          2   6712955K       57              2          4 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
311982                                                                                                
311982.batch       10.33M               0         10.33M       16.95M                0         16.95M 
311982.exte+        0.00M              36          0.00M            0               36              0 
311982.0         4122.19M              14       3926.75M       69.94M                0         69.93M 
311982.1         4052.55M               1       3979.31M       66.72M                1         66.72M 
311982.2         4086.09M               1       3995.11M       66.72M                2         66.72M 
311982.3         4039.74M               2       4002.67M       66.72M                1         66.72M 
311982.4         3953.76M               1       3918.33M       66.72M                1         66.72M 
311982.5         3938.84M               2       3902.63M       66.72M                0         66.72M 
311982.6         3878.68M               2       3873.39M       66.72M                2         66.72M 
311982.7         3860.24M               0       1942.07M       66.72M                2         66.72M 
311982.8         3909.78M               0       3886.60M       66.72M                1         66.72M 
311982.9         4017.88M               0       3933.84M       66.72M                0         66.72M 
311982.10        3937.96M               1       3898.69M       66.72M                1         66.72M 
311982.11        4005.03M               0       3927.57M       66.72M                1         66.72M 
311982.12        3922.64M               0       3889.93M       66.72M                0         66.72M 
311982.13        3890.90M               0       3880.62M       66.72M                1         66.72M 
311982.14        3989.03M               1       3950.47M       66.72M                1         66.72M 
311982.15        4063.82M               1       4005.48M       66.72M                2         66.72M 
311982.16        3952.21M               1       1643.87M       66.72M                1         28.41M 

Job 311982 completed at Wed Mar 16 12:43:30 CET 2022
