Starting job 311983 on b[2153,2177-2183,3201-3203,3213,3218-3230,3238-3248,4209-4212,4217,4219-4222,4224,4229-4232,4234-4243,4245-4248] at Wed Mar 16 12:15:46 CET 2022

start running log_Zn64_gs8_tr_j12n_j12n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
311983         Zn64_gs8       8192                                             00:59:01      0:0 
311983.batch      batch        128        1   00:00:00          0   00:00:00   00:59:01      0:0 
311983.exte+     extern       8192       64   00:00:00         63   00:00:00   00:59:01      0:0 
311983.0     hydra_bst+       2048       16 9-19:15:21          5 10-06:25:+   00:58:58      0:0 
311983.1     hydra_bst+        384        3 10-07:43:+          0 10-07:46:+   00:58:58      0:0 
311983.2     hydra_bst+        384        3 10-07:45:+          0 10-07:46:+   00:58:58      0:0 
311983.3     hydra_bst+        384        3 10-07:43:+          0 10-07:47:+   00:58:58      0:0 
311983.4     hydra_bst+        384        3 10-07:44:+          0 10-07:45:+   00:58:58      0:0 
311983.5     hydra_bst+        384        3 10-07:43:+          0 10-07:47:+   00:58:58      0:0 
311983.6     hydra_bst+        384        3 10-07:47:+          2 10-07:47:+   00:58:58      0:0 
311983.7     hydra_bst+        384        3 10-07:48:+          1 10-07:50:+   00:58:58      0:0 
311983.8     hydra_bst+        384        3 10-07:45:+          2 10-07:47:+   00:58:58      0:0 
311983.9     hydra_bst+        384        3 10-07:45:+          1 10-07:47:+   00:58:57      0:0 
311983.10    hydra_bst+        384        3 10-07:46:+          1 10-07:47:+   00:58:57      0:0 
311983.11    hydra_bst+        384        3 10-07:48:+          0 10-07:50:+   00:58:57      0:0 
311983.12    hydra_bst+        384        3 10-07:46:+          1 10-07:47:+   00:58:57      0:0 
311983.13    hydra_bst+        384        3 10-07:47:+          2 10-07:49:+   00:58:57      0:0 
311983.14    hydra_bst+        384        3 10-07:43:+          2 10-07:46:+   00:58:57      0:0 
311983.15    hydra_bst+        384        3 10-07:46:+          1 10-07:47:+   00:58:57      0:0 
311983.16    hydra_bst+        384        3 10-07:15:+          2 10-07:31:+   00:58:57      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
311983                                                                           
311983.batch      8787K          0      8787K       11              0         11 
311983.exte+       851K         27     848144        3             15          1 
311983.0       6946970K         13 7056929216       84              8         70 
311983.1       6963036K          1 7085385045       69              0         65 
311983.2       7001052K          1 7115316906       68              2         62 
311983.3       6936250K          2 7075574442       71              0         62 
311983.4       6950967K          2   6933345K       63              1         59 
311983.5       6974326K          0   6907191K       62              1         57 
311983.6       6926649K          0 7085640021       67              2         60 
311983.7       6902927K          2   6882580K       64              2         62 
311983.8       6894525K          1   6857569K       68              2         60 
311983.9       6968851K          1 7087171242       68              2         61 
311983.10      6913055K          2   6898978K       65              1         58 
311983.11      6939867K          0 7044085077       61              2         56 
311983.12      6933841K          2 7071012181       58              0         55 
311983.13      6929294K          0 7082678954       69              0         67 
311983.14      6921920K          1 7066909013       61              1         60 
311983.15      6916259K          0   6890291K       69              1         61 
311983.16      6899657K          0 7038562986       62              2         57 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
311983                                                                                                
311983.batch       20.34M               0         20.34M       25.88M                0         25.88M 
311983.exte+        0.00M              63          0.00M            0               63              0 
311983.0         4093.04M              14       3900.41M       79.40M                0         70.52M 
311983.1         4126.36M               1       4002.52M       66.72M                2         66.72M 
311983.2         4046.11M               0       4042.32M       66.72M                1         66.72M 
311983.3         3901.32M               0       3866.98M       66.72M                0         66.72M 
311983.4         3932.95M               1       3875.06M       66.72M                2         66.72M 
311983.5         3929.12M               1       3867.70M       66.72M                0         66.72M 
311983.6         3928.56M               0       3873.32M       66.72M                1         66.72M 
311983.7         3954.97M               0       3877.24M       66.72M                2         66.72M 
311983.8         3984.62M               1       3896.80M       66.72M                0         66.72M 
311983.9         3984.52M               1       3943.29M       66.72M                2         66.72M 
311983.10        3942.83M               1       3883.05M       66.72M                2         66.72M 
311983.11        3935.43M               1       3899.95M       66.72M                1         66.72M 
311983.12        3853.06M               2       3841.80M       66.72M                0         66.72M 
311983.13        3927.80M               1       3895.53M       66.72M                2         66.72M 
311983.14        4101.97M               1       3994.80M       66.72M                1         66.72M 
311983.15        3986.02M               0       3906.52M       66.72M                1         66.72M 
311983.16        3827.98M               0       1794.86M       66.72M                2         66.72M 

Job 311983 completed at Wed Mar 16 13:14:47 CET 2022
