Starting job 311985 on b[2124-2133,2141,2143-2148,2352,2370,2376-2390,5132-5148,5207-5209,5223-5228,5240-5243] at Wed Mar 16 12:50:17 CET 2022

start running log_Zn64_gs8_tr_j14n_j14n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
311985         Zn64_gs8       8192                                             00:50:18      0:0 
311985.batch      batch        128        1   00:00:00          0   00:00:00   00:50:18      0:0 
311985.exte+     extern       8192       64   00:00:00         60   00:00:00   00:50:18      0:0 
311985.0     hydra_bst+       2048       16 8-20:10:41         12 8-20:15:22   00:50:15      0:0 
311985.1     hydra_bst+        384        3 8-20:16:53          2 8-20:18:39   00:50:13      0:0 
311985.2     hydra_bst+        384        3 7-17:44:55          2 8-11:26:57   00:50:13      0:0 
311985.3     hydra_bst+        384        3 8-20:19:52          2 8-20:21:18   00:50:13      0:0 
311985.4     hydra_bst+        384        3 8-20:12:31          1 8-20:17:36   00:50:13      0:0 
311985.5     hydra_bst+        384        3 8-20:16:31          2 8-20:19:36   00:50:13      0:0 
311985.6     hydra_bst+        384        3 8-04:21:46          0 8-14:59:40   00:50:13      0:0 
311985.7     hydra_bst+        384        3 8-06:11:59          0 8-15:13:33   00:50:13      0:0 
311985.8     hydra_bst+        384        3 8-20:14:00          2 8-20:17:10   00:50:13      0:0 
311985.9     hydra_bst+        384        3 8-04:06:30          1 8-14:52:48   00:50:13      0:0 
311985.10    hydra_bst+        384        3 8-07:18:26          1 8-15:58:16   00:50:13      0:0 
311985.11    hydra_bst+        384        3 8-20:13:53          2 8-20:17:05   00:50:13      0:0 
311985.12    hydra_bst+        384        3 8-00:28:52          1 8-13:39:23   00:50:13      0:0 
311985.13    hydra_bst+        384        3 8-05:44:51          0 8-15:25:54   00:50:13      0:0 
311985.14    hydra_bst+        384        3 8-20:16:02          0 8-20:17:37   00:50:13      0:0 
311985.15    hydra_bst+        384        3 8-20:12:42          1 8-20:14:32   00:50:13      0:0 
311985.16    hydra_bst+        384        3 8-20:12:12          1 8-20:14:35   00:50:13      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
311985                                                                           
311985.batch      8747K          0      8747K       11              0         11 
311985.exte+       843K         30       839K        3             60          1 
311985.0       5941665K          6 6021387712       76             14         68 
311985.1       5934489K          1 6031934805       65              1         60 
311985.2       5845702K          2   5839368K       67              1         59 
311985.3       5901938K          2 6000177834       55              1         54 
311985.4       5916537K          2 6027348650       73              0         64 
311985.5       5878752K          0 6006432426       60              0         58 
311985.6       5882786K          1   5869092K       69              0         65 
311985.7       5917047K          0   5868090K       63              1         57 
311985.8       5897807K          1 6018146986       72              0         64 
311985.9       6012193K          0 6045812394       61              2         58 
311985.10      5913459K          0 6016034474       73              2         60 
311985.11      5899460K          2 5984087722       71              1         65 
311985.12      5889466K          0   5851940K       61              0         58 
311985.13      5897671K          1 6017822037       66              1         57 
311985.14      5952392K          2   5894880K       63              0         59 
311985.15      5927163K          1 6014891690       64              1         61 
311985.16      5895219K          2 5985551018       67              0         64 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
311985                                                                                                
311985.batch       15.59M               0         15.59M       21.41M                0         21.41M 
311985.exte+        0.00M              60          0.00M            0               60              0 
311985.0         3148.85M              14       3018.64M       79.51M                0         70.53M 
311985.1         3163.84M               1       3068.03M       66.72M                1         66.72M 
311985.2         3010.63M               2       2996.36M       66.72M                1         66.72M 
311985.3         3096.05M               0       3066.78M       66.72M                0         66.72M 
311985.4         3071.59M               0       3009.77M       66.72M                0         66.72M 
311985.5         3140.31M               1       3090.25M       66.72M                1         66.72M 
311985.6         3031.23M               0       3007.10M       66.72M                1         66.72M 
311985.7         2975.95M               0       1434.94M       66.72M                2         66.72M 
311985.8         3004.53M               2       2989.12M       66.72M                1         66.72M 
311985.9         3066.94M               0       3038.72M       66.72M                1         66.72M 
311985.10        3055.23M               1       3002.98M       66.72M                2         66.72M 
311985.11        3229.44M               1       3101.76M       66.72M                2         66.72M 
311985.12        3019.57M               1       2994.97M       66.72M                2         66.72M 
311985.13        3013.95M               0       2984.86M       66.72M                1         66.72M 
311985.14        3021.32M               2       2993.97M       66.72M                0         66.72M 
311985.15        2984.70M               1       2981.77M       66.72M                1         66.72M 
311985.16        3038.09M               0       3004.12M       66.72M                1         66.72M 

Job 311985 completed at Wed Mar 16 13:40:34 CET 2022
