Starting job 311986 on b[1253-1271,4165-4171,4177-4182,5265-5296] at Wed Mar 16 13:03:47 CET 2022

start running log_Zn64_gs8_tr_j14n_j16n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
311986         Zn64_gs8       8192                                             00:37:46      0:0 
311986.batch      batch        128        1   00:00:00          0   00:00:00   00:37:46      0:0 
311986.exte+     extern       8192       64   00:00:00         63   00:00:00   00:37:46      0:0 
311986.0     hydra_bst+       2048       16 6-05:32:00         10 6-12:21:27   00:37:44      0:0 
311986.1     hydra_bst+        384        3 6-14:21:48          2 6-14:24:35   00:37:43      0:0 
311986.2     hydra_bst+        384        3 6-14:14:12          1 6-14:17:43   00:37:43      0:0 
311986.3     hydra_bst+        384        3 6-14:24:41          1 6-14:26:23   00:37:43      0:0 
311986.4     hydra_bst+        384        3 6-05:41:45          2 6-11:33:09   00:37:43      0:0 
311986.5     hydra_bst+        384        3 6-07:02:58          0 6-11:52:55   00:37:43      0:0 
311986.6     hydra_bst+        384        3 6-06:16:07          0 6-11:39:31   00:37:43      0:0 
311986.7     hydra_bst+        384        3 6-14:23:09          1 6-14:24:06   00:37:43      0:0 
311986.8     hydra_bst+        384        3 6-14:25:00          1 6-14:26:20   00:37:43      0:0 
311986.9     hydra_bst+        384        3 6-14:11:06          1 6-14:17:29   00:37:43      0:0 
311986.10    hydra_bst+        384        3 6-14:18:46          2 6-14:22:32   00:37:43      0:0 
311986.11    hydra_bst+        384        3 6-14:24:58          1 6-14:27:08   00:37:43      0:0 
311986.12    hydra_bst+        384        3 6-14:25:36          1 6-14:27:45   00:37:43      0:0 
311986.13    hydra_bst+        384        3 6-13:24:38          2 6-13:50:29   00:37:43      0:0 
311986.14    hydra_bst+        384        3 6-14:25:17          1 6-14:25:39   00:37:43      0:0 
311986.15    hydra_bst+        384        3 6-14:14:57          1 6-14:18:38   00:37:43      0:0 
311986.16    hydra_bst+        384        3 6-14:20:23          2 6-14:22:33   00:37:43      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
311986                                                                           
311986.batch      8655K          0      8655K       11              0         11 
311986.exte+       851K         30     858160        3             34          1 
311986.0       5386794K          9 5418483072       74              8         65 
311986.1       5252915K          2 5365536426       63              2         60 
311986.2       5292536K          1 5359358634       57              0         52 
311986.3       5256038K          0 5352915285       60              2         56 
311986.4       5361663K          1   5304369K       65              2         63 
311986.5       5301057K          0 5394967210       61              2         54 
311986.6       5433053K          2 5456875861       53              0         51 
311986.7       5286184K          2 5399285077       62              0         59 
311986.8       5377393K          1   5319891K       61              0         57 
311986.9       5386997K          2   5282993K       61              2         55 
311986.10      5304930K          0   5264281K       56              0         52 
311986.11      5261644K          0 5374557525       63              2         60 
311986.12      5335620K          1   5273732K       66              2         58 
311986.13      5381106K          0 5432490325       61              0         53 
311986.14      5277126K          2   5243704K       63              0         60 
311986.15      5339000K          2 5424426666       62              1         57 
311986.16      5258200K          1 5345924437       64              1         56 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
311986                                                                                                
311986.batch       14.97M               0         14.97M       21.41M                0         21.41M 
311986.exte+        0.00M              63          0.00M            0               63              0 
311986.0         2776.46M              14       2633.97M       79.10M                0         70.50M 
311986.1         2742.33M               1       2672.93M       66.72M                1         66.72M 
311986.2         2688.26M               0       2652.33M       66.72M                2         66.72M 
311986.3         2664.95M               1       2625.24M       66.72M                1         66.72M 
311986.4         2729.52M               0       2687.07M       66.72M                2         66.72M 
311986.5         2619.00M               0       2609.36M       66.72M                1         66.72M 
311986.6         2626.23M               2       2607.66M       66.72M                1         66.72M 
311986.7         2708.68M               1       2673.20M       66.72M                0         66.72M 
311986.8         2626.59M               0       2609.83M       66.72M                2         66.72M 
311986.9         2824.10M               1       2699.38M       66.72M                2         66.72M 
311986.10        2667.95M               0       2625.57M       66.72M                1         66.72M 
311986.11        2678.55M               0       2628.98M       66.72M                2         66.72M 
311986.12        2616.35M               2       2602.40M       66.72M                1         66.72M 
311986.13        2587.61M               0       1171.37M       66.72M                1         66.72M 
311986.14        2652.27M               2       2620.05M       66.72M                1         66.72M 
311986.15        2655.76M               0       2623.91M       66.72M                0         66.72M 
311986.16        2601.72M               1       2596.26M       66.72M                2         66.72M 

Job 311986 completed at Wed Mar 16 13:41:34 CET 2022
