Starting job 311987 on b[3174-3196,3249-3252,3269-3283,3285-3290,4301-4307,4309-4312,4337-4341] at Wed Mar 16 13:13:47 CET 2022

start running log_Zn64_gs8_tr_j16n_j16n.txt ...

Task and CPU usage stats:
       JobID    JobName  AllocCPUS   NTasks     MinCPU MinCPUTask     AveCPU    Elapsed ExitCode 
------------ ---------- ---------- -------- ---------- ---------- ---------- ---------- -------- 
311987         Zn64_gs8       8192                                             00:39:43      0:0 
311987.batch      batch        128        1   00:00:00          0   00:00:00   00:39:43      0:0 
311987.exte+     extern       8192       64   00:00:00         62   00:00:00   00:39:43      0:0 
311987.0     hydra_bst+       2048       16 6-18:11:51          6 6-22:24:44   00:39:40      0:0 
311987.1     hydra_bst+        384        3 6-23:03:49          2 6-23:03:51   00:39:39      0:0 
311987.2     hydra_bst+        384        3 6-23:03:23          0 6-23:04:30   00:39:39      0:0 
311987.3     hydra_bst+        384        3 6-17:57:52          1 6-21:22:18   00:39:39      0:0 
311987.4     hydra_bst+        384        3 6-18:48:01          1 6-20:20:51   00:39:39      0:0 
311987.5     hydra_bst+        384        3 6-14:26:54          1 6-18:48:48   00:39:39      0:0 
311987.6     hydra_bst+        384        3 6-23:02:35          0 6-23:03:38   00:39:39      0:0 
311987.7     hydra_bst+        384        3 6-18:32:49          1 6-21:34:50   00:39:39      0:0 
311987.8     hydra_bst+        384        3 6-23:01:09          0 6-23:02:21   00:39:39      0:0 
311987.9     hydra_bst+        384        3 6-23:02:19          0 6-23:03:46   00:39:39      0:0 
311987.10    hydra_bst+        384        3 6-22:54:37          2 6-22:58:09   00:39:39      0:0 
311987.11    hydra_bst+        384        3 6-18:59:23          2 6-21:42:48   00:39:39      0:0 
311987.12    hydra_bst+        384        3 6-18:52:48          0 6-21:41:04   00:39:39      0:0 
311987.13    hydra_bst+        384        3 6-23:02:20          0 6-23:04:00   00:39:39      0:0 
311987.14    hydra_bst+        384        3 6-23:03:20          0 6-23:03:44   00:39:39      0:0 
311987.15    hydra_bst+        384        3 6-23:04:47          2 6-23:05:13   00:39:39      0:0 
311987.16    hydra_bst+        384        3 6-17:02:00          1 6-18:00:45   00:39:39      0:0 

Memory usage stats:
       JobID     MaxRSS MaxRSSTask     AveRSS MaxPages   MaxPagesTask   AvePages 
------------ ---------- ---------- ---------- -------- -------------- ---------- 
311987                                                                           
311987.batch      8.50M          0      8.50M       11              0         11 
311987.exte+       850K         33     825920        3             49          1 
311987.0       4917531K          8 5008811968       81              5         62 
311987.1       4885326K          0 4973648213       65              2         58 
311987.2       4910348K          1 4990567082       50              2         48 
311987.3       4902356K          1 5006187178       62              0         59 
311987.4       4978093K          1 5021048490       65              0         58 
311987.5       4882866K          0   4845563K       61              1         53 
311987.6       4985813K          1   4937465K       56              1         54 
311987.7       4988589K          1 5058386261       67              2         60 
311987.8       4948169K          0 5005793962       69              0         65 
311987.9       4899029K          0 4991334058       62              2         57 
311987.10      4974769K          0 5027433130       62              1         58 
311987.11      4936793K          2   4877856K       62              2         59 
311987.12      4899330K          2 4971632298       64              0         56 
311987.13      4913168K          1 4996211029       61              1         58 
311987.14      4958261K          2 5034858837       62              1         56 
311987.15      4969237K          0 5039979178       61              2         59 
311987.16      4943793K          0 5036975445       63              2         56 

Disk usage stats:
       JobID  MaxDiskRead MaxDiskReadTask    AveDiskRead MaxDiskWrite MaxDiskWriteTask   AveDiskWrite 
------------ ------------ --------------- -------------- ------------ ---------------- -------------- 
311987                                                                                                
311987.batch       15.13M               0         15.13M       21.41M                0         21.41M 
311987.exte+        0.00M              62          0.00M            0               62              0 
311987.0         2401.88M              14       2247.14M       79.14M                0         70.50M 
311987.1         2318.72M               1       2275.71M       66.72M                2         66.72M 
311987.2         2302.60M               0       2241.95M       66.72M                0         66.72M 
311987.3         2283.44M               0       2246.09M       66.72M                2         66.72M 
311987.4         2243.73M               2       2231.79M       66.72M                1         66.72M 
311987.5         2271.48M               0       2241.73M       66.72M                2         66.72M 
311987.6         2281.08M               2       2244.04M       66.72M                1         66.72M 
311987.7         2242.08M               0       2222.72M       66.72M                2         66.72M 
311987.8         2275.60M               2       2254.10M       66.72M                1         66.72M 
311987.9         2221.10M               0       2208.70M       66.72M                1         66.72M 
311987.10        2197.21M               0        905.73M       66.72M                2         66.72M 
311987.11        2272.59M               1       2245.37M       66.72M                1         66.72M 
311987.12        2416.77M               1       2294.96M       66.72M                0         66.72M 
311987.13        2226.11M               2       2213.67M       66.72M                1         66.72M 
311987.14        2307.46M               0       2263.80M       66.72M                1         66.72M 
311987.15        2360.91M               0       2305.23M       66.72M                2         66.72M 
311987.16        2239.77M               2       2216.91M       66.72M                0         66.72M 

Job 311987 completed at Wed Mar 16 13:53:31 CET 2022
